<body><p>,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of November 20, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024
To,,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024
Case Receipts,," 8,227 "," 6,859 "," 5,665 "," 4,519 "," 6,163 "," 8,993 "," 9,203 "," 8,701 "," 9,390 "," 8,394 "," 8,688 "," 9,333 "," 9,956 "," 10,054 "," 5,433 "," 1,557 ", 842 , 832 , 674 , 570 , 616 , 658 , 576 , 655 , 509 
All Decisions,," 9,172 "," 8,550 "," 9,546 "," 5,607 "," 6,829 "," 11,267 "," 11,379 "," 9,078 "," 11,322 "," 12,458 "," 9,435 "," 10,072 "," 9,193 "," 9,293 "," 7,102 "," 6,383 "," 2,513 "," 1,401 "," 1,158 "," 1,121 ", 701 , 858 , 916 , 963 , 655 
Fear Established_Persecution (Y),," 2,581 "," 2,163 "," 2,111 "," 1,919 "," 1,815 "," 1,844 "," 2,062 "," 1,892 "," 2,319 "," 2,855 "," 2,532 "," 2,567 "," 2,446 "," 2,344 "," 1,943 "," 1,340 ", 551 , 176 , 125 , 100 , 85 , 82 , 81 , 81 , 71 
Fear Established_Torture (Y),," 2,102 "," 1,585 "," 1,479 "," 1,339 "," 1,410 "," 1,631 "," 1,602 "," 1,425 "," 1,831 "," 2,045 "," 1,747 "," 1,773 "," 1,560 "," 1,573 "," 1,287 ", 950 , 427 , 126 , 53 , 57 , 45 , 34 , 34 , 36 , 47 
Fear Not Established (N),," 2,832 "," 2,529 "," 2,579 "," 1,639 "," 2,150 "," 3,479 "," 3,524 "," 3,215 "," 3,243 "," 3,682 "," 3,605 "," 3,852 "," 3,777 "," 3,571 "," 2,490 "," 1,449 ", 546 , 222 , 138 , 147 , 104 , 116 , 137 , 125 , 93 
Administratively Closed,," 1,657 "," 2,273 "," 3,377 ", 710 ," 1,454 "," 4,313 "," 4,191 "," 2,546 "," 3,929 "," 3,876 "," 1,551 "," 1,880 "," 1,410 "," 1,805 "," 1,382 "," 2,644 ", 989 , 877 , 842 , 817 , 467 , 626 , 664 , 721 , 444 
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024
To,,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024
To,,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024
Case Receipts,, 489 , 69 , 422 , 281 , 856 , 875 , 705 , 658 , 539 , 376 , 372 , 780 , 757 , 775 , 520 , 16 , 18 , 21 , 6 , 5 , 4 , 4 , 4 , 12 , 6 
All Decisions,, 603 , 554 , 825 , 413 , 561 ," 1,052 ", 756 , 697 , 870 , 730 , 562 , 586 , 630 , 569 , 489 , 668 , 101 , 34 , 20 , 12 , 5 , 5 , 7 , 13 , 13 
