<body><p>,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of September 20, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024
To,,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024
Case Receipts,," 11,034 "," 7,173 "," 9,669 "," 11,393 "," 8,227 "," 6,859 "," 5,665 "," 4,519 "," 6,163 "," 8,993 "," 9,203 "," 8,701 "," 9,390 "," 8,394 "," 8,688 "," 9,333 "," 9,956 "," 10,054 "," 5,465 "," 1,615 ", 946 , 899 , 727 , 607 , 677 
All Decisions,," 7,525 "," 7,321 "," 6,360 "," 8,621 "," 9,174 "," 8,550 "," 9,551 "," 5,608 "," 6,829 "," 11,274 "," 11,439 "," 9,078 "," 11,324 "," 12,459 "," 9,435 "," 10,078 "," 9,218 "," 9,296 "," 7,119 "," 6,415 "," 2,616 "," 1,498 "," 1,202 "," 1,187 ", 728 
Fear Established_Persecution (Y),," 2,472 "," 2,539 "," 2,124 "," 2,682 "," 2,582 "," 2,163 "," 2,110 "," 1,920 "," 1,816 "," 1,844 "," 2,062 "," 1,892 "," 2,321 "," 2,856 "," 2,532 "," 2,570 "," 2,464 "," 2,347 "," 1,958 "," 1,350 ", 589 , 205 , 140 , 124 , 101 
Fear Established_Torture (Y),," 1,554 "," 1,569 "," 1,516 "," 2,301 "," 2,102 "," 1,585 "," 1,480 "," 1,339 "," 1,410 "," 1,631 "," 1,602 "," 1,425 "," 1,831 "," 2,045 "," 1,747 "," 1,773 "," 1,566 "," 1,574 "," 1,287 ", 959 , 453 , 147 , 58 , 64 , 45 
Fear Not Established (N),," 2,453 "," 2,228 "," 2,003 "," 2,790 "," 2,832 "," 2,528 "," 2,583 "," 1,639 "," 2,150 "," 3,479 "," 3,523 "," 3,215 "," 3,244 "," 3,681 "," 3,604 "," 3,854 "," 3,777 "," 3,570 "," 2,492 "," 1,462 ", 587 , 267 , 161 , 181 , 114 
Administratively Closed,," 1,046 ", 985 , 717 , 848 ," 1,658 "," 2,274 "," 3,378 ", 710 ," 1,453 "," 4,320 "," 4,252 "," 2,546 "," 3,928 "," 3,877 "," 1,552 "," 1,881 "," 1,411 "," 1,805 "," 1,382 "," 2,644 ", 987 , 879 , 843 , 818 , 468 
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024
To,,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024
To,,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024
Case Receipts,," 1,081 ", 720 , 766 , 306 , 489 , 69 , 422 , 281 , 856 , 875 , 705 , 658 , 539 , 376 , 372 , 780 , 757 , 775 , 520 , 16 , 22 , 24 , 7 , 4 , 4 
All Decisions,, 397 , 161 , 358 , 710 , 603 , 554 , 826 , 413 , 561 ," 1,052 ", 766 , 697 , 871 , 730 , 562 , 586 , 630 , 569 , 489 , 668 , 101 , 40 , 22 , 12 , 4 
Fear Established_Persecution (Y),, 169 , 57 , 158 , 227 , 148 , 50 , 103 , 145 , 143 , 230 , 240 , 245 , 227 , 252 , 163 , 193 , 184 , 160 , 93 , 8 , 20 , 5 , 3 ,,
Fear Established_Torture (Y),, 95 , 46 , 127 , 302 , 135 , 36 , 73 , 136 , 136 , 229 , 179 , 174 , 189 , 241 , 187 , 182 , 203 , 207 , 83 , 19 , 45 , 10 , 5 , 1 ,
