<body><p>,,,,,,
"Number of Form I-130, Petition for Alien Relative",,,,,,
Approved Family-Based Petitions Awaiting Visa Availability,,,,,,
By Preference Category and Beneficiary's Country of Birth,,,,,,
As of September 2022,,,,,,
,,,,,,
,Family-Based Preference Category,,,,,
,"F1
Unmarried
Sons and
Daughters of
USC","F2A
Spouses and
Children of
LPR","F2B
Unmarried
Sons and
Daughters
(age 21+)
of LPR","F3
Married Sons
and Daughters
of USC","F4
Brothers and
Sisters of Adult
USC",TOTAL
,,,,,,
TOTAL," 119,773 "," 34,555 "," 205,727 "," 150,556 "," 838,086 "," 1,348,697 "
,,,,,,
China, 977 , -   ," 6,383 "," 4,152 "," 42,967 "," 54,479 "
India, 724 , -   ," 2,440 "," 8,069 "," 65,866 "," 77,099 "
Mexico," 53,260 "," 34,555 "," 73,569 "," 56,609 "," 342,650 "," 560,643 "
Philippines," 6,353 ", -   ," 22,293 "," 16,573 "," 19,013 "," 64,232 "
Rest of the World," 58,459 ", -   ," 101,042 "," 65,153 "," 367,590 "," 592,244 "
Table Key:,,,,,,
- Represents zero or rounds to 0.0,,,,,,
Notes:,,,,,,
1) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,
2) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,
3) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,
4) The counts of approved petitions represent only primary beneficiaries. Dependents are not included.,,,,,,
5) For details on Green Card Eligibility Categories see https://www.uscis.gov/greencard/eligibility-categories,,,,,,
"6) The priority date is based on September 2022 Visa Bulletin Final Action Dates chart
",,,,,,
   https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin.html,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,
Sources:,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,
"CLAIMS3, queried 11/2022, TRK 10807",,,,,,</p></body>
