<body><p>,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Total,,," 160,510 "," 118,716 "," 9,551 "," 430,662 "," 74,197 "," 15,088 "," 3,877 "," 728,536 "," 234,836 "," 133,986 "," 13,620 "," 1,159,323 ",,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,
,Anchorage ,ANC,63,85,D,168,D,D,0,D,64,87,D,171,,,,,,,
Arizona,,, , , , , , , , ,,,,,,,,,,,
 ,Phoenix ,PHO,"1,113","1,273",53,"2,164",D,28,D,18,"1,116","1,301",56,"2,182",,,,,,,
,Tucson,TUC,361,534,14,698,D,D,D,D,362,538,15,699,,,,,,,
Arkansas,,, , , , , , , , ,,,,,,,,,,,
,Fort Smith ,FSA,111,131,11,282,0,D,D,D,111,138,13,286,,,,,,,
California,,, , , , , , , , ,,,,,,,,,,,
,Chula Vista,CVC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,Fresno ,FRE,658,476,63,"1,661",D,D,0,38,660,484,63,"1,699",,,,,,,
,Imperial,IMP,89,123,D,143,0,0,0,D,89,123,D,144,,,,,,,
,Los Angeles ,LOS,"1,674","1,296",56,"4,399",D,22,D,35,"1,678","1,318",62,"4,434",,,,,,,
,Los Angeles County ,LAC,"1,973","1,130",88,"5,008",D,13,D,26,"1,978","1,143",93,"5,034",,,,,,,
,Sacramento ,SAC,729,548,42,"1,757",D,24,D,D,731,572,46,"1,762",,,,,,,
,San Bernardino,SBD,"1,572","1,247",105,"3,226",0,35,D,15,"1,572","1,282",110,"3,241",,,,,,,
,San Diego ,SND,"1,222",645,26,"3,385",D,D,0,D,"1,224",649,26,"3,389",,,,,,,
,San Fernando Valley,SFV,"1,130",724,49,"3,652",D,16,D,D,"1,132",740,50,"3,654",,,,,,,
,San Francisco,SFR,"1,831","1,367",80,"5,378",D,47,D,D,"1,834","1,414",83,"5,387",,,,,,,
,San Jose ,SNJ,933,747,54,"2,560",D,18,D,29,936,765,57,"2,589",,,,,,,
,Santa Ana,SAA,"1,376","1,122",99,"4,179",D,40,20,D,"1,379","1,162",119,"4,186",,,,,,,
Colorado,,, , , , , , , , ,,,,,,,,,,,
,Denver ,DEN,973,683,69,"3,119",0,34,0,48,973,717,69,"3,167",,,,,,,
Connecticut,,, , , , , , , , ,,,,,,,,,,,
,Hartford ,HAR,711,654,150,"2,205",D,15,D,109,712,669,154,"2,314",,,,,,,
   Delaware,,, , , , , , , , ,,,,,,,,,,,
,Dover,DVD,0,D,0,23,0,0,0,0,0,D,0,23,,,,,,,
District of Columbia,,, , , , , , , , ,,,,,,,,,,,
,Washington ,WAS,"1,224",980,92,"3,876",0,29,D,140,"1,224","1,009",100,"4,016",,,,,,,
Florida,,, , , , , , , , ,,,,,,,,,,,
,Hialeah,HIA,644,444,45,"1,876",D,15,D,17,648,459,47,"1,893",,,,,,,
,Jacksonville,JAC,542,285,26,"1,395",D,D,D,12,545,288,27,"1,407",,,,,,,
