<body><p>,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,
Grand Total,,," 129,309 "," 130,345 "," 9,909 "," 505,723 "," 53,250 "," 15,181 "," 3,752 "," 1,038,382 "," 182,559 "," 145,526 "," 13,661 "," 1,544,105 ",,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,MGA, 365 , 387 , 102 ," 1,820 ", D , D , D , 82 , 367 , 391 , 103 ," 1,902 ",,,,,,,,,,
Alaska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Anchorage ,ANC, 71 , 65 , D , 209 , D , D , D , D , 72 , 66 , D , 216 ,,,,,,,,,,
Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
 ,Phoenix ,PHO, 762 , 649 , 44 ," 4,638 ", D , 12 , D , 67 , 764 , 661 , 53 ," 4,705 ",,,,,,,,,,
,Tucson,TUC, 273 , 346 , 10 , 988 , D , D , D , 18 , 277 , 351 , 11 ," 1,006 ",,,,,,,,,,
Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Fort Smith ,FSA, 82 , 145 , 19 , 395 , -   , D , D , 13 , 82 , 149 , 22 , 408 ,,,,,,,,,,
California,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
