<body><p>,,,,,,,,,,,,,,,,,,,,,
"Form I-485 Application to Register Permanent Residence or Adjust Status
",,,,,,,,,,,,,,,,,,,,,
"Liberian Refugee Immigration Fairness (LRIF) Applications Adjudicated, Pending, Request for Evidence (RFE), Notice of Intent to Deny (NOID), and Processing Time, Including Percent Adjudicated and Percent Pending",,,,,,,,,,,,,,,,,,,,,
By Fiscal Year and Quarter ,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2022",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period,Received1,Approved2,Approved %3,Denied4,Denied %5,Pending6,Pending %7,RFE8,NOID9,Processing Time (in months)10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTAL," 3,969 "," 1,892 ",83%, 398 ,17%, N/A , N/A ," 1,548 ", 141 , N/A ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fiscal Year 2020 ," 2,434 ", 91 ,99%, 1 ,1%, N/A , N/A , 40 , -   , N/A ,,,,,,,,,,,
   Q1 October - December, 3 , -   ,0%, -   ,0%, 3 ,100%, -   , -   , N/A ,,,,,,,,,,,
   Q2 January - March," 1,108 ", -   ,0%, -   ,0%," 1,111 ",100%, -   , -   , N/A ,,,,,,,,,,,
   Q3 April - June, 713 , -   ,0%, 1 ,100%," 1,817 ",100%, -   , -   , N/A ,,,,,,,,,,,
   Q4 July - September, 610 , 91 ,100%, -   ,0%," 2,338 ",96%, 40 , -   , N/A ,,,,,,,,,,,
Fiscal Year 2021 ," 1,231 "," 1,225 ",84%, 238 ,16%, N/A , N/A , 985 , 75 , N/A ,,,,,,,,,,,
   Q1 October - December, 937 , 271 ,85%, 46 ,15%," 2,952 ",88%, 190 , 7 , 9 ,,,,,,,,,,,
   Q2 January - March, 99 , 286 ,85%, 49 ,15%," 2,706 ",78%, 238 , 16 , 11 ,,,,,,,,,,,
   Q3 April - June, 96 , 302 ,85%, 55 ,15%," 2,456 ",69%, 249 , 23 , 12.0 ,,,,,,,,,,,
   Q4 July - September, 99 , 366 ,81%, 88 ,19%," 2,100 ",57%, 308 , 29 , 13.2 ,,,,,,,,,,,
Fiscal Year 2022, 304 , 576 ,78%, 159 ,22%, N/A , N/A , 523 , 66 , N/A ,,,,,,,,,,,
   Q1 October - December, 304 , 279 ,78%, 79 ,22%," 2,043 ",51%, 246 , 34 , 13.8 ,,,,,,,,,,,
   Q2 January - March, N/A , 297 ,79%, 80 ,21%," 1,677 ",39%, 277 , 32 , 15.7 ,,,,,,,,,,,
   Q3 April - June, N/A , N/A ,N/A, N/A ,N/A, N/A ,N/A, N/A , N/A , N/A ,,,,,,,,,,,
   Q4 July - September, N/A , N/A ,N/A, N/A ,N/A, N/A ,N/A, N/A , N/A , N/A ,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,
N/A Not available,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved divided by the total number of applications approved and denied in the given reporting period.,,,,,,,,,,,,,,,,,,,,,
4  The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,,
5  The number of applications denied divided by the total number of applications approved and denied in the given reporting period.,,,,,,,,,,,,,,,,,,,,,
6  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
7  The number of applications pending in the given reporting period divided by the number of cumulative applications received through the given reporting period.,,,,,,,,,,,,,,,,,,,,,
8  The number of approved or denied applications in the given reporting period with a Request for Evidence (RFE).,,,,,,,,,,,,,,,,,,,,,
9  The number of approved or denied applications in the given reporting period with a Notice of Intent to Deny (NOID).,,,,,,,,,,,,,,,,,,,,,
10  The median number of months it took for an application to be processed from receipt to completion in a given time frame.,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,
4) The report does not include rejected LRIF applications at the Lockbox.,,,,,,,,,,,,,,,,,,,,,
5) RFE and NOID counts reflect the number of adjudicated applications that had at least one RFE or NOID action.,,,,,,,,,,,,,,,,,,,,,
6) RFE and NOID counts were placed in the quarter of the adjudicative action of each application.,,,,,,,,,,,,,,,,,,,,,
7) Processing times are defined as the number of months it took for an application to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.,,,,,,,,,,,,,,,,,,,,,
8) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,,,,,,,,,,,,
"9) LRIF applications must be properly filed to USCIS by the December 20, 2021 deadline.  Applications filed after the deadline will no longer be accepted.",,,,,,,,,,,,,,,,,,,,,
"10) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,
"CLAIMS3, queried 04/2022, TRK 9380",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,</p></body>
