<body><p>"U.S. Citizenship and Immigration Services
Service-wide Receipts and Approvals for All Form Types
Fiscal Year 2013: October 2012 - March 2013",,,,,,,,,,,,,,,,,,
Form Name,Oct-12,Oct-12,Nov-12,Nov-12,Dec-12,Dec-12,1st Quarter Total,1st Quarter Total,Jan-13,Jan-13,Feb-13,Feb-13,Mar-13,Mar-13,2nd Quarter Total,2nd Quarter Total, Fiscal Year 2013 To-Date ,
,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals,Receipts,Approvals, Receipts , Approvals 
I-485 Asylee Adjustment,"3,587","3,061","3,031","2,858","2,879","2,185","9,497","8,104","3,338","2,752","2,960","3,753","4,122","4,492","10,420","10,997","19,917","19,101"
I-485 Refugee Adjustment,"5,090","4,099","4,101","2,730","4,137","2,898","13,328","9,727","4,463","3,545","4,252","3,675","4,517","4,203","13,232","11,423","26,560","21,150"
I-485 Indo Chinese Adjustment, -   ,5, -   ,3, -   ,1, -   ,9, -   ,5, -   , -   , -   , -   , -   ,5, -   ,14
I-485 Employment Adjustment,"5,794","12,587","10,009","12,077","8,129","8,869","23,932","33,533","6,938","11,121","6,804","10,491","6,908","11,213","20,650","32,825","44,582","66,358"
I-485 Family Adjustment,"23,134","21,073","20,248","17,978","20,895","15,675","64,277","54,726","20,244","21,867","17,370","21,232","26,438","20,642","64,052","63,741","128,329","118,467"
I-485 Cuban Refugee Adjustment,"3,100",865,"2,844",846,"2,892",672,"8,836","2,383","3,158","1,524","3,029","1,143","3,535","1,281","9,722","3,948","18,558","6,331"
I-485 All Others Adjustment,"1,577","1,075","1,404","1,045","1,469",901,"4,450","3,021","1,463",940,"1,414","1,087","1,876",978,"4,753","3,005","9,203","6,026"
I-526 Investor Petition,792,316,652,137,491,240,"1,935",693,515,433,369,212,466,188,"1,350",833,"3,285","1,526"
I-130 Immediate Relative,"42,711","30,297","37,554","30,339","38,221","29,937","118,486","90,573","38,290","45,185","39,944","47,514","59,181","49,853","137,415","142,552","255,901","233,125"
I-129F Fiancé(e),"3,866","3,047","3,282","2,455","3,154","1,638","10,302","7,140","3,496","1,901","3,687","1,621","4,329","1,790","11,512","5,312","21,814","12,452"
I-600/I-600A Petition to Classify Orphan as an Immediate Relative/Application for Advance Processing of Orphan Petition,356,394,330,391, -   ,381,686,"1,166",403,673,386,382,480,383,"1,269","1,438","1,955","2,604"
I-130 All Other Relative (Pref. Cases),"19,090","3,997","15,465","3,781","16,512","3,328","51,067","11,106","16,170","4,343","15,768","3,374","21,871","5,509","53,809","13,226","104,876","24,332"
I-360 Amerasians, -   ,1, -   , -   ,1, -   ,1,1,2, -   , -   , -   , -   , -   ,2, -   ,3,1
I-360 Widow(er) Petition,50,25,39,32,51,31,140,88,45,59,51,38,45,30,141,127,281,215
I-360 Abusee/Self Petition,708,355,608,337,588,447,"1,904","1,139",665,570,530,544,596,707,"1,791","1,821","3,695","2,960"
I-360 Special Immigrant,448,283,446,220,510,244,"1,404",747,625,337,362,382,800,627,"1,787","1,346","3,191","2,093"
I-360 Special Immigrant Juvenile,270,220,300,219,310,205,880,644,308,350,243,284,326,273,877,907,"1,757","1,551"
I-140 Immigrant Worker,"8,978","6,054","7,343","6,897","7,185","6,761","23,506","19,712","5,957","7,589","5,796","6,292","5,145","6,878","16,898","20,759","40,404","40,471"
I-140 Hong Kong, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
I-129s Nonimmigrant Petition Based on Blanket L Petition,"22,353","36,891","20,409","32,621","19,882","33,979","62,644","103,491","21,691","34,731","21,978","24,781","24,485","22,895","68,154","82,407","130,798","185,898"
I-90 SAW (Special Agricultural Worker),41,3,33,2,44,4,118,9,43,1,42,2,57,15,142,18,260,27
I-539s Extend/Change Nonimmigrant Status,"12,689","11,034","10,640","12,638","9,785","13,593","33,114","37,265","10,942","14,939","10,351","14,700","11,381","11,917","32,674","41,556","65,788","78,821"
I-914 T Nonimmigrant Status,44,127,65,86,66,51,175,264,53,77,67,67,85,54,205,198,380,462
I-914A Immediate Family Member of T-1 Recipient ,74,125,105,77,90,70,269,272,74,62,54,116,95,54,223,232,492,504
I-90 Replace Permanent Resident Card,"11,989","10,676","10,739","5,906","9,801","5,181","32,529","21,763","11,914","6,880","12,466","6,267","14,930","8,168","39,310","21,315","71,839","43,078"
I-90 Renew Permanent Resident Card,"27,528","26,355","22,339","11,118","18,844","11,134","68,711","48,607","29,962","16,005","34,551","15,546","44,246","20,030","108,759","51,581","177,470","100,188"
I-131 Travel Document,"6,977","9,265","5,646","6,249","5,973","5,082","18,596","20,596","7,263","4,514","7,208","5,638","8,023","2,767","22,494","12,919","41,090","33,515"
I-131 Advance Parole,"20,952","19,200","26,327","17,124","26,863","22,440","74,142","58,764","29,361","30,189","24,434","29,972","24,875","26,580","78,670","86,741","152,812","145,505"
