<body><p>,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of August 5, 2023 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023,6/16/2023,7/1/2023,7/16/2023
To,,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023,6/30/2023,7/15/2023,7/31/2023
Case Receipts,," 3,199 "," 3,511 "," 4,024 "," 3,426 "," 3,808 "," 4,481 "," 5,011 "," 4,154 "," 3,182 "," 2,612 "," 2,388 "," 3,923 "," 6,877 "," 6,298 "," 3,865 "," 4,828 "," 4,965 "," 3,832 "," 3,686 "," 5,886 "," 12,287 "," 7,940 "," 9,245 "," 7,944 "," 7,745 "
All Decisions,," 2,900 "," 2,709 "," 2,812 "," 3,273 "," 3,033 "," 2,296 "," 3,208 "," 4,540 "," 3,431 "," 4,620 "," 3,140 "," 2,541 "," 4,128 "," 4,721 "," 4,349 "," 5,747 "," 5,335 "," 4,454 "," 4,656 "," 4,553 "," 8,107 "," 9,900 "," 8,245 "," 8,667 "," 9,040 "
Fear Established_Persecution (Y),," 1,102 "," 1,086 "," 1,073 "," 1,143 "," 1,188 ", 815 ," 1,257 "," 2,153 "," 1,698 "," 2,161 "," 1,630 "," 1,249 "," 1,712 "," 1,868 "," 1,766 "," 2,450 "," 2,403 "," 1,971 "," 1,815 "," 1,428 "," 2,454 "," 2,835 "," 8,245 "," 8,667 "," 2,937 "
Fear Established_Torture (Y),, 517 , 385 , 402 , 559 , 458 , 405 , 548 , 896 , 718 ," 1,151 ", 684 , 523 , 907 ," 1,235 "," 1,304 "," 1,729 "," 1,691 "," 1,557 "," 1,425 "," 1,126 "," 1,777 "," 1,969 "," 2,620 "," 3,095 "," 2,094 "
Fear Not Established (N),," 1,126 "," 1,135 "," 1,219 "," 1,482 "," 1,190 ", 931 ," 1,211 "," 1,333 ", 829 , 893 , 578 , 621 ," 1,289 "," 1,405 "," 1,046 "," 1,202 "," 1,055 ", 770 , 856 ," 1,187 "," 3,093 "," 4,097 "," 1,917 "," 2,073 "," 3,153 "
Administratively Closed,, 155 , 103 , 118 , 89 , 197 , 145 , 192 , 158 , 186 , 415 , 248 , 148 , 220 , 213 , 233 , 366 , 186 , 156 , 560 , 812 , 783 , 999 , 823 , 745 , 856 
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023,6/16/2023,7/1/2023,7/16/2023
To,,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023,6/30/2023,7/15/2023,7/31/2023
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
