<body><p>,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of December 5, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,45627
To,,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,45641
Case Receipts,," 6,859 "," 5,665 "," 4,519 "," 6,163 "," 8,993 "," 9,203 "," 8,701 "," 9,390 "," 8,394 "," 8,688 "," 9,333 "," 9,956 "," 10,054 "," 5,433 "," 1,557 ", 836 , 832 , 675 , 568 , 613 , 648 , 569 , 641 , 548 , 498 ,
All Decisions,," 8,551 "," 9,547 "," 5,607 "," 6,829 "," 11,267 "," 11,359 "," 9,078 "," 11,324 "," 12,461 "," 9,435 "," 10,073 "," 9,195 "," 9,294 "," 7,102 "," 6,394 "," 2,513 "," 1,400 "," 1,158 "," 1,120 ", 700 , 856 , 904 , 959 , 653 , 717 ,1
Fear Established_Persecution (Y),," 2,164 "," 2,111 "," 1,919 "," 1,815 "," 1,844 "," 2,066 "," 1,892 "," 2,319 "," 2,856 "," 2,532 "," 2,567 "," 2,446 "," 2,344 "," 1,943 "," 1,345 ", 551 , 175 , 125 , 99 , 85 , 82 , 77 , 79 , 69 , 72 ,
Fear Established_Torture (Y),," 1,585 "," 1,479 "," 1,339 "," 1,410 "," 1,631 "," 1,602 "," 1,425 "," 1,833 "," 2,048 "," 1,747 "," 1,774 "," 1,560 "," 1,574 "," 1,287 ", 956 , 427 , 125 , 53 , 57 , 44 , 34 , 32 , 32 , 44 , 50 ,
Fear Not Established (N),," 2,529 "," 2,580 "," 1,639 "," 2,150 "," 3,479 "," 3,524 "," 3,215 "," 3,243 "," 3,682 "," 3,605 "," 3,853 "," 3,779 "," 3,571 "," 2,490 "," 1,449 ", 546 , 223 , 138 , 148 , 104 , 115 , 131 , 127 , 85 , 111 ,
Administratively Closed,," 2,273 "," 3,377 ", 710 ," 1,454 "," 4,313 "," 4,167 "," 2,546 "," 3,929 "," 3,875 "," 1,551 "," 1,879 "," 1,410 "," 1,805 "," 1,382 "," 2,644 ", 989 , 877 , 842 , 816 , 467 , 625 , 664 , 721 , 455 , 484 ,1
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
