<body><p>,,,,,,,,,,,,,,,,,,,,,,,
Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2021 - December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,                                                                                          Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,
,,,                              Immediate Relative1,,,,                               All Other Relative2,,,,                                              Total,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,," 145,897 "," 111,048 "," 14,476 "," 539,278 "," 60,350 "," 24,252 "," 7,997 "," 1,046,261 "," 206,247 "," 135,300 "," 22,473 "," 1,585,539 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State7,,Field Office Code,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,MGA, 283 , 411 , 56 ," 2,110 ", 10 , 26 , 18 , 171 , 293 , 437 , 74 ," 2,281 ",,,,,,,,,
Alaska,,, , , , , , , , , , , , ,,,,,,,,,
,Anchorage ,ANC, 36 , 16 , D , 256 , D , D , D , 13 , 38 , 17 , D , 269 ,,,,,,,,,
Arizona,,, , , , , , , , , , , , ,,,,,,,,,
 ,Phoenix ,PHO, 813 ," 1,064 ", 105 ," 2,773 ", 24 , 28 , 33 , 135 , 837 ," 1,092 ", 138 ," 2,908 ",,,,,,,,,
,Tucson,TUC, 292 , 416 , 30 , 936 , D , D , 17 , 33 , 295 , 424 , 47 , 969 ,,,,,,,,,
Arkansas,,, , , , , , , , , , , , ,,,,,,,,,
,Fort Smith ,FSA, 95 , 173 , 28 , 317 , D , D , 12 , 16 , 100 , 180 , 40 , 333 ,,,,,,,,,
California,,, , , , , , , , , , , , ,,,,,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
,Fresno ,FRE, 498 ," 1,302 ", 73 ," 3,088 ", 13 , 49 , 80 , 148 , 511 ," 1,351 ", 153 ," 3,236 ",,,,,,,,,
,Imperial,IMP, 86 , 83 , D , 406 , 10 , D , D , 57 , 96 , 85 , D , 463 ,,,,,,,,,
,Los Angeles ,LOS, 995 ," 1,579 ", 147 ," 4,329 ", 36 , 72 , 189 , 297 ," 1,031 "," 1,651 ", 336 ," 4,626 ",,,,,,,,,
,Los Angeles County ,LAC, 905 ," 1,213 ", 151 ," 3,445 ", 35 , 46 , 181 , 221 , 940 ," 1,259 ", 332 ," 3,666 ",,,,,,,,,
,Sacramento ,SAC, 452 , 274 , 72 ," 4,957 ", 10 , 37 , 99 , 305 , 462 , 311 , 171 ," 5,262 ",,,,,,,,,
,San Bernardino,SBD, 961 ," 1,817 ", 116 ," 3,359 ", 29 , 84 , 85 , 174 , 990 ," 1,901 ", 201 ," 3,533 ",,,,,,,,,
,San Diego ,SND, 659 , 848 , 68 ," 2,920 ", 36 , 32 , 52 , 194 , 695 , 880 , 120 ," 3,114 ",,,,,,,,,
,San Fernando Valley,SFV, 674 ," 1,202 ", 89 ," 2,451 ", 20 , 32 , 80 , 150 , 694 ," 1,234 ", 169 ," 2,601 ",,,,,,,,,
,San Francisco,SFR, 993 , 819 , 72 ," 4,759 ", 44 , 85 , 160 , 403 ," 1,037 ", 904 , 232 ," 5,162 ",,,,,,,,,
,San Jose ,SNJ, 590 ," 1,336 ", 57 ," 3,019 ", 44 , 147 , 198 , 319 , 634 ," 1,483 ", 255 ," 3,338 ",,,,,,,,,
,Santa Ana,SAA, 725 , 969 , 65 ," 3,066 ", 29 , 64 , 140 , 188 , 754 ," 1,033 ", 205 ," 3,254 ",,,,,,,,,
Colorado,,, , , , , , , , , , , , ,,,,,,,,,
,Denver ,DEN, 796 , 793 , 74 ," 3,660 ", 17 , 21 , 36 , 223 , 813 , 814 , 110 ," 3,883 ",,,,,,,,,
Connecticut,,, , , , , , , , , , , , ,,,,,,,,,
,Hartford ,HAR, 561 , 720 , 79 ," 2,199 ", 20 , 30 , D , 165 , 581 , 750 , 87 ," 2,364 ",,,,,,,,,
Delaware,,, , , , , , , , , , , , ,,,,,,,,,
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
District of Columbia,,, , , , , , , , , , , , ,,,,,,,,,
,Washington ,WAS, 817 , 989 , 95 ," 4,380 ", 33 , 58 , 22 , 445 , 850 ," 1,047 ", 117 ," 4,825 ",,,,,,,,,
Florida,,, , , , , , , , , , , , ,,,,,,,,,
,Hialeah,HIA, 513 , 609 , 73 ," 1,546 ", 29 , 52 , 43 , 109 , 542 , 661 , 116 ," 1,655 ",,,,,,,,,
,Jacksonville,JAC, 302 , 132 , 34 ," 1,885 ", D , D , 20 , 78 , 307 , 137 , 54 ," 1,963 ",,,,,,,,,
,Kendall,KND, 424 , 556 , 53 ," 1,728 ", 21 , 25 , 34 , 121 , 445 , 581 , 87 ," 1,849 ",,,,,,,,,
,Miami ,MIA, 755 , 745 , 80 ," 3,359 ", 44 , 36 , 35 , 336 , 799 , 781 , 115 ," 3,695 ",,,,,,,,,
,Fort Myers,OFM, 234 , 260 , 38 ," 1,163 ", 12 , 15 , 19 , 86 , 246 , 275 , 57 ," 1,249 ",,,,,,,,,
,Oakland Park,OKL, 883 ," 1,226 ", 147 ," 3,011 ", 33 , 53 , 56 , 179 , 916 ," 1,279 ", 203 ," 3,190 ",,,,,,,,,
,Orlando ,ORL, 879 ," 1,136 ", 114 ," 4,395 ", 55 , 58 , 65 , 289 , 934 ," 1,194 ", 179 ," 4,684 ",,,,,,,,,
,Tampa,TAM, 653 , 881 , 72 ," 2,953 ", 30 , 22 , 64 , 196 , 683 , 903 , 136 ," 3,149 ",,,,,,,,,
