<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"July 1, 2023 - Septembe  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative2,All Other Relative2,All Other Relative2,All Other Relative2,Total,Total,Total,Total
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
Grand Total,,"170,156","191,489","12,767","700,530","63,740","17,970","4,800","1,233,255","233,896","209,459","17,567","1,933,785"
Alabama,,,,,,,,,,,,,
Montgomery,MGA,556,904,27,"2,827",13,30, D ,152,569,934,31,"2,979"
Alaska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Anchorage ,ANC,41,33, D ,172, D , D , D ,14,43,35, D ,186
Arizona,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Phoenix ,PHO,"1,163","1,093",45,"4,674",27,41, D ,215,"1,190","1,134",48,"4,889"
Tucson,TUC,316,"1,281",23,"1,067", D ,53, D ,47,319,"1,334",27,"1,114"
Arkansas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Fort Smith ,FSA,116,297,10,577, D ,14, - ,25,119,311,10,602
California,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Chula Vista,CVC, - , - , - , - , - , - , - , - , - , - , - , - 
Fresno ,FRE,686,"1,480",28,"2,535", D ,42, D ,113,692,"1,522",36,"2,648"
Imperial,IMP,131,473, D ,574, D ,67, D ,46,139,540,10,620
Los Angeles ,LOS,"1,244","1,401",89,"4,926",54,296,40,304,"1,298","1,697",129,"5,230"
Los Angeles County ,LAC,"1,149","2,170",292,"4,408",32,277,19,608,"1,181","2,447",311,"5,016"
Sacramento ,SAC,642,643,33,"3,266",12,33, D ,175,654,676,39,"3,441"
San Bernardino,SBD,"1,117","2,148",131,"3,447",17,117,27,109,"1,134","2,265",158,"3,556"
San Diego ,SND,867,"1,594",56,"3,371",34,95, D ,211,901,"1,689",64,"3,582"
San Fernando Valley,SFV,844,"1,030",141,"4,346",11,58,17,705,855,"1,088",158,"5,051"
San Francisco,SFR,"1,377","1,442",35,"4,857",74,165, D ,406,"1,451","1,607",42,"5,263"
San Jose ,SNJ,737,"1,703",47,"3,048",84,99, D ,484,821,"1,802",54,"3,532"
Santa Ana,SAA,890,"2,025",81,"2,958",49,155, D ,216,939,"2,180",89,"3,174"
Colorado,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Denver ,DEN,"1,022",677,49,"5,397",21,31, D ,221,"1,043",708,53,"5,618"
Connecticut,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Hartford ,HAR,693,858,73,"3,115",19,26,11,151,712,884,84,"3,266"
Delaware,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Dover,DVD, - , - , - , - , - , - , - , - , - , - , - , - 
District of Columbia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Washington ,WAS,"1,049",317,40,"6,445",37,14, D ,464,"1,086",331,49,"6,909"
Florida,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Hialeah,HIA,521,"2,368",80,"2,370",35,153,11,252,556,"2,521",91,"2,622"
Jacksonville,JAC,421,663,25,"1,873",10,26, D ,74,431,689,31,"1,947"
Kendall,KND,503,"1,133",41,"2,406",28,71,10,239,531,"1,204",51,"2,645"
Miami ,MIA,996,179,47,"4,321",42,18, D ,475,"1,038",197,56,"4,796"
Fort Myers,OFM,420,397,33,"1,899",10,36, D ,102,430,433,40,"2,001"
Oakland Park,OKL,"1,239",845,90,"5,137",37,41, D ,326,"1,276",886,98,"5,463"
Orlando ,ORL,"1,348",994,74,"5,854",54,69,16,355,"1,402","1,063",90,"6,209"
Tampa,TAM,961,923,52,"4,193",25,55, D ,236,986,978,57,"4,429"
West Palm Beach,WPB,835,812,47,"3,681",19,58, D ,203,854,870,53,"3,884"
Georgia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Atlanta ,ATL,"1,551","1,221",216,"8,888",40,55,20,348,"1,591","1,276",236,"9,236"
Hawaii,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Honolulu ,HHW,164,167,12,746, D ,11, D ,46,170,178,17,792
