<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"April 1, 2023 - June  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,Total,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,,,,All Other Relative2,,,,,,,
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
Grand Total,,"172,732","207,182","9,917","722,685","63,222","21,978","5,940","1,190,120","235,954","229,160","15,857","1,912,805"
Alabama,,,,,,,,,,,,,
Montgomery,MGA,416,"1,079",35,"2,970",15,60,D,164,431,"1,139",37,"3,134"
Alaska,,,,,,,,,,,,,
Anchorage ,ANC,36,62,D,154,D,D,-,13,37,63,D,167
Arizona,,,,,,,,,,,,,
Phoenix ,PHO,"1,189","1,627",46,"4,472",32,47,16,222,"1,221","1,674",62,"4,694"
Tucson,TUC,289,929,15,"1,232",D,43,D,61,296,972,16,"1,293"
Arkansas,,,,,,,,,,,,,
Fort Smith ,FSA,148,326,10,718,D,15,D,38,154,341,14,756
California,,,,,,,,,,,,,
Chula Vista,CVC,-,-,-,-,-,-,-,-,-,-,-,-
Fresno ,FRE,682,938,20,"3,013",18,35,D,142,700,973,24,"3,155"
Imperial,IMP,156,175,D,652,D,10,D,83,164,185,D,735
Los Angeles ,LOS,"1,315","1,237",71,"5,286",54,175,21,432,"1,369","1,412",92,"5,718"
Los Angeles County ,LAC,"1,256","1,330",275,"4,637",50,128,22,560,"1,306","1,458",297,"5,197"
Sacramento ,SAC,597,941,27,"2,980",16,36,D,181,613,977,33,"3,161"
San Bernardino,SBD,"1,171","1,404",63,"4,328",26,72,15,213,"1,197","1,476",78,"4,541"
San Diego ,SND,904,662,18,"4,109",48,28,D,311,952,690,22,"4,420"
San Fernando Valley,SFV,885,894,210,"3,639",19,65,13,477,904,959,223,"4,116"
San Francisco,SFR,"1,245","1,697",39,"4,943",97,105,D,512,"1,342","1,802",43,"5,455"
San Jose ,SNJ,742,"1,545",32,"3,349",89,156,D,428,831,"1,701",35,"3,777"
Santa Ana,SAA,869,845,32,"3,693",49,55,D,305,918,900,40,"3,998"
Colorado,,,,,,,,,,,,,
Denver ,DEN,983,"1,220",43,"4,749",19,19,D,235,"1,002","1,239",49,"4,984"
Connecticut,,,,,,,,,,,,,
Hartford ,HAR,677,951,52,"3,297",24,45,D,164,701,996,59,"3,461"
Delaware,,,,,,,,,,,,,
Dover,DVD,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,,,,,,,,,,,,,
Washington ,WAS,932,"1,261",33,"5,527",47,36,20,461,979,"1,297",53,"5,988"
Florida,,,,,,,,,,,,,
Hialeah,HIA,526,"2,358",51,"2,645",38,136,D,318,564,"2,494",57,"2,963"
Jacksonville,JAC,399,705,26,"2,006",22,15,D,84,421,720,29,"2,090"
Kendall,KND,477,796,37,"2,673",38,12,D,250,515,808,38,"2,923"
Miami ,MIA,982,239,52,"4,236",55,14,D,479,"1,037",253,61,"4,715"
Fort Myers,OFM,377,540,37,"1,799",17,31,D,136,394,571,42,"1,935"
Oakland Park,OKL,"1,158",567,86,"5,357",58,22,12,348,"1,216",589,98,"5,705"
Orlando ,ORL,"1,268","1,529",146,"5,173",71,92,16,369,"1,339","1,621",162,"5,542"
Tampa,TAM,875,"1,365",49,"3,909",39,53,12,246,914,"1,418",61,"4,155"
West Palm Beach,WPB,728,953,68,"3,440",16,30,D,223,744,983,74,"3,663"
Georgia,,,,,,,,,,,,,
Atlanta ,ATL,"1,535","2,159",288,"8,287",54,94,17,411,"1,589","2,253",305,"8,698"
Hawaii,,,,,,,,,,,,,
Honolulu ,HHW,152,312,D,723,D,11,D,58,160,323,10,781
Idaho,,,,,,,,,,,,,
Boise ,BOI,121,146,D,495,D,D,D,23,124,151,D,518
Illinois,,,,,,,,,,,,,
Chicago ,CHI,"2,125","3,825",125,"12,406",64,92,18,584,"2,189","3,917",143,"12,990"
Indiana,,,,,,,,,,,,,
Indianapolis ,INP,481,773,110,"2,709",18,24,D,127,499,797,113,"2,836"
Iowa,,,,,,,,,,,,,
Des Moines,DSM,131,266,D,579,D,D,D,60,137,274,D,639
Kansas,,,,,,,,,,,,,
Wichita,WIC,142,96,D,561,D,D,-,23,144,98,D,584
Kentucky,,,,,,,,,,,,,
Louisville ,LOU,193,455,26,"1,016",15,18,D,70,208,473,32,"1,086"
Louisiana,,,,,,,,,,,,,
New Orleans ,NOL,269,243,26,"1,718",D,11,D,147,276,254,27,"1,865"
Maine,,,,,,,,,,,,,
Portland ,POM,62,149,D,390,D,D,-,10,67,152,D,400
Maryland,,,,,,,,,,,,,
Baltimore ,BAL,"1,158","1,243",58,"7,693",34,25,22,485,"1,192","1,268",80,"8,178"
Massachusetts,,,,,,,,,,,,,
