H1: List of Recognized American Institutions of Research and Other Recognized Organizations

The following is a list of the recognized American institutions of research, public international organizations, and designations under the International Immunities Act as of April 6, 2011.

A USCIS AIR Number is assigned to the list of American institutions of research. Each primary organization and its entities and affiliates have a designated USCIS AIR Number. The primary organization is denoted with a ‘*’ in the below list.

TABLE:
USCIS AIR NUMBER | Recognized American Institutions of Research
AIR0000001 | African Medical and Research Foundation (AMREF - USA).https://amref.org/
AIR0000002 | Albert Einstein College of Medicine of Yeshiva University (only in relationship to its research programs).https://einsteinmed.org/
AIR0000003 | American Friends of the Middle East, Inc.
AIR0000004 | American Institutes of Research in the Behavioral Sciences (only in relationship to research projects abroad).
AIR0000005 | American Universities Field Staff, Inc.
AIR0000006 | American University, The, Cairo, Egypt.https://www.aucegypt.edu/
AIR0000100 | American University of Armeniahttps://aua.am/
AIR0000007 | American University of Beirut (Near East College Associations).
AIR0000008 | Arctic Institute of North America, Inc.https://arctic.ucalgary.ca/
AIR0000009 | Armour Research Foundation of Illinois Institute of Technology.https://www.iit.edu/research
AIR0000010 | Asia Foundation, The (formerly Committee for a Free Asia, Inc.).https://asiafoundation.org/
AIR0000011 | Association of Universities for Research in Astronomy (AURA, Inc.), Tucson, Arizona.https://www.aura-astronomy.org/about/membership/
AIR0000012 | Atomic Bomb Casualty Commission.
AIR0000099 | Baylor College of Medicinehttps://www.bcm.edu/
AIR0000013 | Beirut University College.
AIR0000014 | Bermuda Biological Station for Research, Inc.
AIR0000015 | Bernice P. Bishop Museum of Polynesian Antiquities, Ethnology and Natural History at Honolulu, Hawaii.https://www.bishopmuseum.org/
AIR0000016 | Brookhaven National Laboratory Associated Universities, Inc.
AIR0000017 | Brown University (Department of Engineering), Providence, R.I.http://www.brown.edu/academics/engineering/
AIR0000018 | Buffalo Eye Bank and Research Society, Inc.
AIR0000019 | Burma Office of Robert N. Nathan Associates, Inc.
AIR0000020 | California State University at Long Beach, Department of Geological Sciences.https://www.csulb.edu/earth-science
AIR0000021 | Carleton College (Department of Sociology and Anthropology), Northfield, Minnesota.https://www.carleton.edu/sociology-anthropology/
AIR0000022 | Center of Alcohol Studies, Laboratory of Applied Biodynamics of Yale University. Central Registry of Jewish Losses in Egypt.https://world.yale.edu/
AIR0000023 | College of Engineering, University of Wisconsin.https://engineering.wisc.edu/
AIR0000024 | College of Medicine, State University of New York.https://www.downstate.edu/education-training/college-of-medicine/index.html
AIR0000025 | Colorado State University (Research Foundation), Fort Collins, Colo.https://www.colostate.edu/
AIR0000026 | *Colorado University (International Economic Studies Center), Boulder, Colo.https://www.colorado.edu/
AIR0000027 | Columbia University (Parker School of Foreign and Comparative Law) and (Faculty of Pure Science), New York, N.Y.https://www.columbia.edu/
AIR0000028 | Cornell University (International Agricultural Development, University of the Philippines-Cornell University Graduate Education Program).https://www.cornell.edu/
AIR0000029 | Dartmouth Medical School.https://geiselmed.dartmouth.edu/
AIR0000030 | *Department of French, Department of Scandinavian Languages, and Department of Near Eastern Languages of the University of California, Berkeley, Calif.https://www.berkeley.edu/
AIR0000031 | Duke University.https://duke.edu/
AIR0000032 | Environmental Research Laboratory of the University of Arizona.https://environmentalscience.cals.arizona.edu/
AIR0000095 | Fermi National Accelerator Laboratory (Fermilab), Batavia, Illinois. [Approved October 19, 2011]https://www.fnal.gov/
AIR0000033 | Fletcher School of Law and Diplomacy, Medford, Mass.https://fletcher.tufts.edu/
AIR0000034 | Ford Foundation, New York, N.Y.https://www.fordfoundation.org/
AIR0000035 | *Foundation for Aids Research, New York. [Approved February 8, 2011]https://www.amfar.org/
AIR0000035 | American Foundation for Aids Research (AMFAR), New York, Washington, D.C., Bangkok, Thailand. [Approved February 8, 2011]https://www.amfar.org/?s=bangkok
AIR0000036 | Free Europe, Inc. (formerly Free Europe Committee, Inc.; National Committee for a Free Europe (including Radio Free Europe)).https://www.rferl.org/
AIR0000037 | Georgetown University.https://www.georgetown.edu/
AIR0000038 | George Williams Hooper Foundation, San Francisco Medical Center, University of California, San Francisco, Calif.https://www.ucsf.edu/
AIR0000039 | Gorgas Memorial Institute of Tropical and Preventive Medicine, Inc., and its operating unit, the Gorgas Memorial Laboratory.
AIR0000040 | Graduate Faculty of Political and Social Science Division of the New School for Social Research, New York, N.Y.https://www.newschool.edu/nssr/
AIR0000041 | Harvard University (research and educational programs only).https://www.harvard.edu/
AIR0000042 | Harvard-Yenching Institute.https://www.harvard-yenching.org/
AIR0000043 | Humboldt State University, School of Natural Resources, Wildlife Management Department.https://www.humboldt.edu/
AIR0000044 | Indiana University at Bloomington, Indianapolis, South Bend, Northwest, Kokomo, Southeast, East, and Fort Wayne.https://bloomington.iu.edu/
AIR0000045 | Iowa State University.https://www.iastate.edu/
AIR0000046 | Institute for Development Anthropology, Inc.
AIR0000047 | Institute of International Education, Inc.https://www.iie.org/
AIR0000030 | Institute of International Studies, University of California, Berkeley, Calif.https://www.berkeley.edu/
AIR0000048 | International Center for Social Research, New York, N.Y.
AIR0000049 | International Development Foundation, Inc.
AIR0000050 | International Development Services, Inc.
AIR0000051 | International Research Associates, Inc.
AIR0000030 | Inter-University Program for Chinese Language Studies (formerly Stanford Center for Chinese Studies) in Taipei, Taiwan.https://iupchinesecenter.org/
AIR0000052 | Iran Foundation, Inc., The.
AIR0000097 | Johns Hopkins Universityhttps://www.jhu.edu/
AIR0000053 | Kossuth Foundation, Inc., The, New York, N.Y.
AIR0000054 | Louisiana State University.https://www.lsu.edu/
AIR0000055 | Massachusetts Institute of Technology.https://web.mit.edu/
AIR0000056 | Michigan State University, East Lansing, Michigan.https://msu.edu/
