Form I-129 Petition for Nonimmigrant Worker Specialty Occupations (H-1B),,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"2,611,022","2,473,124","224,420","2,697,544",91.70%,"679,473",25.20%,"483,200",71.10%

2017,October,"22,624","30,253","2,237","32,490",93.10%,"8,791",27.10%,"7,153",81.40%

,November,"20,698","30,113","2,501","32,614",92.30%,"8,932",27.40%,"7,113",79.60%

,December,"21,683","29,589","2,916","32,505",91.00%,"9,086",28.00%,"6,893",75.90%

,January,"19,998","29,918","3,574","33,492",89.30%,"8,921",26.60%,"6,102",68.40%

,February,"21,685","29,148","2,556","31,704",91.90%,"5,707",18.00%,"3,814",66.80%

,March,"55,375","44,357","2,334","46,691",95.00%,"5,690",12.20%,"4,046",71.10%

,April,"115,081","43,611","2,159","45,770",95.30%,"6,776",14.80%,"5,106",75.40%

,May,"27,060","34,690","2,283","36,973",93.80%,"6,892",18.60%,"5,061",73.40%

,June,"27,158","30,448","2,280","32,728",93.00%,"5,919",18.10%,"4,318",73.00%

,July,"23,423","21,813","1,836","23,649",92.20%,"4,566",19.30%,"3,211",70.30%

,August,"25,865","25,070","2,023","27,093",92.50%,"4,505",16.60%,"3,083",68.40%

,September,"22,469","24,390","3,329","27,719",88.00%,"10,459",37.70%,"7,584",72.50%

2017 Total,,"403,119","373,400","30,028","403,428",92.60%,"86,244",21.40%,"63,484",73.60%

2018,October,"21,889","31,992","5,165","37,157",86.10%,"13,690",36.80%,"8,916",65.10%

,November,"20,361","26,923","5,670","32,593",82.60%,"15,306",47.00%,"9,990",65.30%

,December,"20,068","21,902","5,685","27,587",79.40%,"15,352",55.60%,"9,957",64.90%

,January,"20,966","24,904","7,211","32,115",77.50%,"18,415",57.30%,"11,594",63.00%

,February,"22,944","22,469","7,026","29,495",76.20%,"15,077",51.10%,"8,500",56.40%

,March,"25,701","25,161","5,055","30,216",83.30%,"10,809",35.80%,"6,273",58.00%

,April,"139,338","26,375","3,679","30,054",87.80%,"8,086",26.90%,"4,718",58.30%

,May,"33,034","34,115","3,520","37,635",90.60%,"8,445",22.40%,"5,167",61.20%

,June,"29,835","32,181","4,113","36,294",88.70%,"10,122",27.90%,"6,391",63.10%

,July,"27,716","27,720","4,192","31,912",86.90%,"10,589",33.20%,"6,753",63.80%

,August,"29,465","32,637","5,129","37,766",86.40%,"12,462",33.00%,"7,878",63.20%

,September,"27,276","28,582","4,926","33,508",85.30%,"12,287",36.70%,"7,804",63.50%

2018 Total,,"418,593","334,961","61,371","396,332",84.50%,"150,640",38.00%,"93,941",62.40%

2019,October,"19,818","29,372","8,882","38,254",76.80%,"22,389",58.50%,"14,110",63.00%

,November,"19,640","25,107","9,464","34,571",72.60%,"22,852",66.10%,"13,883",60.80%

,December,"20,834","22,218","6,754","28,972",76.70%,"15,901",54.90%,"9,591",60.30%

,January,"20,111","25,428","6,182","31,610",80.40%,"13,095",41.40%,"7,653",58.40%

,February,"21,398","25,985","5,134","31,119",83.50%,"10,536",33.90%,"5,924",56.20%

,March,"25,797","29,121","4,335","33,456",87.00%,"10,332",30.90%,"6,387",61.80%

,April,"140,167","31,543","4,520","36,063",87.50%,"11,826",32.80%,"7,669",64.80%

,May,"35,197","47,544","3,702","51,246",92.80%,"10,805",21.10%,"7,400",68.50%

,June,"31,308","37,222","3,485","40,707",91.40%,"11,521",28.30%,"8,376",72.70%

,July,"31,097","40,883","4,317","45,200",90.40%,"14,074",31.10%,"10,237",72.70%

,August,"29,555","40,623","6,632","47,255",86.00%,"21,829",46.20%,"15,742",72.10%

,September,"25,637","34,333","6,145","40,478",84.80%,"19,269",47.60%,"13,686",71.00%

2019 Total,,"420,559","389,379","69,552","458,931",84.80%,"184,429",40.20%,"120,658",65.40%

2020,October,"26,333","35,719","7,252","42,971",83.10%,"21,100",49.10%,"14,384",68.20%

,November,"25,698","28,706","5,980","34,686",82.80%,"16,565",47.80%,"10,960",66.20%

,December,"26,955","29,212","5,389","34,601",84.40%,"15,387",44.50%,"10,307",67.00%

,January,"25,265","31,866","6,010","37,876",84.10%,"15,997",42.20%,"10,519",65.80%

,February,"26,799","27,849","4,213","32,062",86.90%,"11,237",35.00%,"7,597",67.60%

,March,"27,335","31,333","3,286","34,619",90.50%,"10,203",29.50%,"7,432",72.80%

,April,"40,317","24,358","1,697","26,055",93.50%,"6,388",24.50%,"4,974",77.90%

,May,"48,984","28,090","1,272","29,362",95.70%,"5,169",17.60%,"4,035",78.10%

,June,"85,034","44,907","1,236","46,143",97.30%,"8,869",19.20%,"7,829",88.30%

,July,"31,554","47,824",950,"48,774",98.10%,"6,780",13.90%,"6,015",88.70%

,August,"28,957","47,918","1,050","48,968",97.90%,"6,976",14.20%,"6,176",88.50%

,September,"34,054","48,928","1,587","50,515",96.90%,"9,546",18.90%,"8,333",87.30%

2020 Total,,"427,285","426,710","39,922","466,632",91.40%,"134,217",28.80%,"98,561",73.40%

2021,October,"22,904","42,168","1,563","43,731",96.40%,"9,017",20.60%,"7,795",86.40%

,November,"18,507","24,471","1,194","25,665",95.30%,"7,052",27.50%,"6,065",86.00%

,December,"20,066","23,073","1,235","24,308",94.90%,"7,265",29.90%,"6,216",85.60%

,January,"20,823","23,921",909,"24,830",96.30%,"5,231",21.10%,"4,432",84.70%

,February,"22,709","23,023",879,"23,902",96.30%,"4,763",19.90%,"4,001",84.00%

,March,"34,114","33,656",910,"34,566",97.40%,"6,003",17.40%,"5,224",87.00%

,April,"39,339","37,078",872,"37,950",97.70%,"5,234",13.80%,"4,514",86.20%

,May,"45,022","35,889",697,"36,586",98.10%,"4,781",13.10%,"4,195",87.70%

,June,"77,270","42,176",660,"42,836",98.50%,"4,310",10.10%,"3,771",87.50%

,July,"32,610","39,116",659,"39,775",98.30%,"4,347",10.90%,"3,832",88.20%

,August,"31,786","43,277",750,"44,027",98.30%,"5,021",11.40%,"4,476",89.10%

,September,"33,131","39,222",909,"40,131",97.70%,"4,848",12.10%,"4,168",86.00%

