"Form I-129 Petition for a Nonimmigrant Worker, Intercompany Transferee Specialized Knowledge (L-1B)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - March 31, 2023",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"89,935","66,424","23,464","89,888",73.90%,"44,317",49.30%,"22,465",50.70%

2017,October,"1,144",837,227,"1,064",78.70%,390,36.70%,174,44.60%

,November,"1,105",856,202,"1,058",80.90%,356,33.60%,169,47.50%

,December,"1,058",862,223,"1,085",79.40%,375,34.60%,171,45.60%

,January,"1,120",757,292,"1,049",72.20%,454,43.30%,181,39.90%

,February,"1,146",855,258,"1,113",76.80%,399,35.80%,164,41.10%

,March,"1,325","1,031",396,"1,427",72.20%,601,42.10%,221,36.80%

,April,"1,199",889,330,"1,219",72.90%,508,41.70%,185,36.40%

,May,"1,275","1,028",398,"1,426",72.10%,642,45.00%,255,39.70%

,June,"1,191",907,357,"1,264",71.80%,619,49.00%,268,43.30%

,July,965,782,336,"1,118",69.90%,543,48.60%,216,39.80%

,August,"1,115",936,391,"1,327",70.50%,592,44.60%,208,35.10%

,September,965,768,252,"1,020",75.30%,415,40.70%,165,39.80%

2017 Total,,"13,608","10,508","3,662","14,170",74.20%,"5,894",41.60%,"2,377",40.30%

2018,October,"1,122",669,271,940,71.20%,456,48.50%,190,41.70%

,November,"1,130",688,290,978,70.30%,482,49.30%,198,41.10%

,December,958,746,308,"1,054",70.80%,556,52.80%,253,45.50%

,January,"1,013",614,334,948,64.80%,569,60.00%,249,43.80%

,February,"1,129",765,281,"1,046",73.10%,493,47.10%,220,44.60%

,March,"1,271",962,300,"1,262",76.20%,565,44.80%,270,47.80%

,April,"1,146",733,279,"1,012",72.40%,479,47.30%,209,43.60%

,May,"1,363",792,266,"1,058",74.90%,484,45.70%,224,46.30%

,June,"1,202",860,238,"1,098",78.30%,477,43.40%,251,52.60%

,July,"1,144",701,240,941,74.50%,466,49.50%,232,49.80%

,August,"1,161",859,288,"1,147",74.90%,603,52.60%,324,53.70%

,September,"1,069",753,273,"1,026",73.40%,497,48.40%,246,49.50%

2018 Total,,"13,708","9,142","3,368","12,510",73.10%,"6,127",49.00%,"2,866",46.80%

