"Form I-129 Petition for a Nonimmigrant Worker, Intracompany Transferee  (L-1), Not Assigned L-1A or L-1B",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - March 31, 2023",,,,,,,,,,

Period,, Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,193,127,62,189,67.20%,77,40.70%,19,24.70%

2017,October,1,0,0,0,0.00%,0,0.00%,0,0.00%

,November,4,1,0,1,100.00%,0,0.00%,0,0.00%

,December,9,5,0,5,100.00%,0,0.00%,0,0.00%

,January,8,4,1,5,80.00%,1,20.00%,0,0.00%

,February,9,7,0,7,100.00%,0,0.00%,0,0.00%

,March,4,6,0,6,100.00%,1,16.70%,1,100.00%

,April,2,5,3,8,62.50%,4,50.00%,1,25.00%

,May,1,0,2,2,0.00%,1,50.00%,0,0.00%

,June,0,0,0,0,0.00%,0,0.00%,0,0.00%

,July,6,2,4,6,33.30%,5,83.30%,1,20.00%

,August,4,1,1,2,50.00%,1,50.00%,0,0.00%

,September,1,5,1,6,83.30%,1,16.70%,0,0.00%

2017 Total,,49,36,12,48,75.00%,14,29.20%,3,21.40%

2018,October,6,2,0,2,100.00%,0,0.00%,0,0.00%

,November,4,4,0,4,100.00%,1,25.00%,1,100.00%

,December,5,2,1,3,66.70%,1,33.30%,0,0.00%

,January,7,1,1,2,50.00%,1,50.00%,0,0.00%

,February,6,6,0,6,100.00%,2,33.30%,2,100.00%

,March,8,2,0,2,100.00%,0,0.00%,0,0.00%

,April,2,1,1,2,50.00%,1,50.00%,0,0.00%

,May,4,4,3,7,57.10%,3,42.90%,0,0.00%

,June,3,2,3,5,40.00%,4,80.00%,1,25.00%

,July,3,4,0,4,100.00%,0,0.00%,0,0.00%

,August,2,3,1,4,75.00%,2,50.00%,1,50.00%

,September,3,3,1,4,75.00%,2,50.00%,1,50.00%

2018 Total,,53,34,11,45,75.60%,17,37.80%,6,35.30%

2019,October,5,2,0,2,100.00%,1,50.00%,1,100.00%

,November,1,3,2,5,60.00%,3,60.00%,1,33.30%

,December,4,1,1,2,50.00%,1,50.00%,0,0.00%

,January,11,2,1,3,66.70%,1,33.30%,0,0.00%

,February,7,7,0,7,100.00%,0,0.00%,0,0.00%

,March,3,9,3,12,75.00%,3,25.00%,0,0.00%

,April,3,3,1,4,75.00%,1,25.00%,0,0.00%

,May,7,0,3,3,0.00%,3,100.00%,0,0.00%

,June,4,5,1,6,83.30%,1,16.70%,0,0.00%

,July,3,1,0,1,100.00%,0,0.00%,0,0.00%

,August,4,6,4,10,60.00%,6,60.00%,2,33.30%

,September,2,0,2,2,0.00%,2,100.00%,0,0.00%

2019 Total,,54,39,18,57,68.40%,22,38.60%,4,18.20%

2020,October,0,2,1,3,66.70%,1,33.30%,0,0.00%

,November,2,0,2,2,0.00%,2,100.00%,0,0.00%

,December,1,0,1,1,0.00%,1,100.00%,0,0.00%

,January,0,0,1,1,0.00%,1,100.00%,0,0.00%

,February,0,0,0,0,0.00%,0,0.00%,0,0.00%

,March,1,1,1,2,50.00%,1,50.00%,0,0.00%

,April,1,0,0,0,0.00%,0,0.00%,0,0.00%

,May,0,0,0,0,0.00%,0,0.00%,0,0.00%

,June,1,0,2,2,0.00%,2,100.00%,0,0.00%

,July,1,1,1,2,50.00%,2,100.00%,1,50.00%

,August,1,0,0,0,0.00%,0,0.00%,0,0.00%

,September,0,0,1,1,0.00%,0,0.00%,0,0.00%

2020 Total,,8,4,10,14,28.60%,10,71.40%,1,10.00%

2021,October,1,1,1,2,50.00%,1,50.00%,1,100.00%

,November,0,0,0,0,0.00%,0,0.00%,0,0.00%

,December,2,0,0,0,0.00%,0,0.00%,0,0.00%

,January,4,1,1,2,50.00%,1,50.00%,0,0.00%

,February,0,0,0,0,0.00%,0,0.00%,0,0.00%

,March,0,0,0,0,0.00%,0,0.00%,0,0.00%

,April,0,1,1,2,50.00%,1,50.00%,1,100.00%

,May,3,2,0,2,100.00%,0,0.00%,0,0.00%

,June,2,0,1,1,0.00%,1,100.00%,0,0.00%

,July,1,2,0,2,100.00%,0,0.00%,0,0.00%

,August,2,1,0,1,100.00%,0,0.00%,0,0.00%

,September,0,0,3,3,0.00%,3,100.00%,0,0.00%

2021 Total,,15,8,7,15,53.30%,7,46.70%,2,28.60%

2022,October,0,0,0,0,0.00%,0,0.00%,0,0.00%

,November,0,0,0,0,0.00%,0,0.00%,0,0.00%

,December,1,2,0,2,100.00%,2,100.00%,2,100.00%

,January,0,0,0,0,0.00%,0,0.00%,0,0.00%

,February,0,0,0,0,0.00%,0,0.00%,0,0.00%

,March,1,0,2,2,0.00%,2,100.00%,0,0.00%

,April,2,0,0,0,0.00%,0,0.00%,0,0.00%

,May,1,0,0,0,0.00%,0,0.00%,0,0.00%

,June,0,1,0,1,100.00%,0,0.00%,0,0.00%

,July,0,0,1,1,0.00%,1,100.00%,0,0.00%

,August,1,2,0,2,100.00%,1,50.00%,1,100.00%

,September,1,0,1,1,0.00%,1,100.00%,0,0.00%

2022 Total,,7,5,4,9,55.60%,7,77.80%,3,42.90%

2023,October,0,0,0,0,0.00%,0,0.00%,0,0.00%

,November,0,0,0,0,0.00%,0,0.00%,0,0.00%

,December,3,0,0,0,0.00%,0,0.00%,0,0.00%

,January,2,0,0,0,0.00%,0,0.00%,0,0.00%

,February,0,0,0,0,0.00%,0,0.00%,0,0.00%

