"Form I-129 Petition for a Nonimmigrant Worker, NAFTA Professionals (TN)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - March 31, 2023",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"69,453","62,280","6,159","68,439",91.00%,"15,200",22.20%,"9,832",64.70%

2017,October,512,512,48,560,91.40%,148,26.40%,100,67.60%

,November,465,462,52,514,89.90%,136,26.50%,87,64.00%

,December,550,491,49,540,90.90%,108,20.00%,65,60.20%

,January,535,546,52,598,91.30%,139,23.20%,91,65.50%

,February,554,383,46,429,89.30%,108,25.20%,63,58.30%

,March,766,712,49,761,93.60%,158,20.80%,111,70.30%

,April,627,665,62,727,91.50%,157,21.60%,104,66.20%

,May,797,752,38,790,95.20%,155,19.60%,120,77.40%

,June,821,696,44,740,94.10%,118,15.90%,76,64.40%

,July,669,567,40,607,93.40%,124,20.40%,85,68.50%

,August,660,562,92,654,85.90%,171,26.10%,87,50.90%

,September,523,551,58,609,90.50%,134,22.00%,82,61.20%

2017 Total,,"7,479","6,899",630,"7,529",91.60%,"1,656",22.00%,"1,071",64.70%

2018,October,555,437,66,503,86.90%,121,24.10%,58,47.90%

,November,"1,285",881,59,940,93.70%,139,14.80%,87,62.60%

,December,487,726,92,818,88.80%,440,53.80%,354,80.50%

,January,525,449,89,538,83.50%,172,32.00%,86,50.00%

,February,540,493,84,577,85.40%,181,31.40%,98,54.10%

,March,870,586,93,679,86.30%,200,29.50%,109,54.50%

,April,623,538,56,594,90.60%,126,21.20%,71,56.30%

,May,724,597,65,662,90.20%,187,28.20%,125,66.80%

,June,750,579,76,655,88.40%,147,22.40%,75,51.00%

,July,709,668,101,769,86.90%,205,26.70%,105,51.20%

,August,637,725,102,827,87.70%,226,27.30%,128,56.60%

,September,499,493,75,568,86.80%,152,26.80%,79,52.00%

2018 Total,,"8,204","7,172",958,"8,130",88.20%,"2,296",28.20%,"1,375",59.90%

2019,October,621,613,98,711,86.20%,207,29.10%,111,53.60%

,November,490,554,60,614,90.20%,169,27.50%,113,66.90%

,December,464,376,44,420,89.50%,111,26.40%,67,60.40%

,January,495,447,99,546,81.90%,169,31.00%,73,43.20%

,February,547,476,52,528,90.20%,114,21.60%,65,57.00%

,March,521,465,31,496,93.80%,102,20.60%,73,71.60%

,April,632,533,43,576,92.50%,126,21.90%,86,68.30%

,May,664,507,53,560,90.50%,139,24.80%,86,61.90%

,June,781,632,61,693,91.20%,145,20.90%,85,58.60%

,July,780,775,61,836,92.70%,173,20.70%,114,65.90%

,August,587,613,74,687,89.20%,170,24.70%,103,60.60%

,September,533,449,56,505,88.90%,133,26.30%,81,60.90%

2019 Total,,"7,115","6,440",732,"7,172",89.80%,"1,758",24.50%,"1,057",60.10%

2020,October,601,513,69,582,88.10%,161,27.70%,94,58.40%

,November,472,390,52,442,88.20%,116,26.20%,65,56.00%

,December,476,398,65,463,86.00%,139,30.00%,77,55.40%

,January,529,457,60,517,88.40%,118,22.80%,61,51.70%

,February,648,447,56,503,88.90%,131,26.00%,78,59.50%

,March,811,598,75,673,88.90%,176,26.20%,108,61.40%

,April,"1,379",693,62,755,91.80%,138,18.30%,85,61.60%

,May,"1,540",665,46,711,93.50%,138,19.40%,97,70.30%

