,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 155,598 "," 126,279 "," 10,310 "," 453,895 "," 61,117 "," 8,101 "," 3,943 "," 781,564 "," 216,715 "," 134,380 "," 14,253 "," 1,235,459 ",

Field Office by State6,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,

Alaska,,,,,,,,,,,,,,,

,Anchorage ,ANC, 65 , 55 , D , 180 , D , -   , D , D , 67 , 55 , D , 185 ,

Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

 ,Phoenix ,PHO," 1,241 ", 716 , 28 ," 2,807 ", D , D , -   , 25 ," 1,244 ", 724 , 28 ," 2,832 ",

,Tucson,TUC, 392 , 225 , D , 847 , -   , -   , -   , D , 392 , 225 , D , 848 ,

Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Fort Smith ,FSA, 130 , 121 , D , 334 , -   , -   , -   , D , 130 , 121 , D , 338 ,

California,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,

,Fresno ,FRE, 679 , 580 , 39 ," 1,816 ", D , 22 , -   , 24 , 680 , 602 , 39 ," 1,840 ",

,Imperial,IMP, 106 , 85 , D , 180 , -   , -   , D , -   , 106 , 85 , 10 , 180 ,

,Los Angeles ,LOS," 1,881 "," 1,231 ", 82 ," 5,423 ", D , 26 , D , 13 ," 1,885 "," 1,257 ", 85 ," 5,436 ",

,Los Angeles County ,LAC," 1,946 "," 1,511 ", 113 ," 4,397 ", D , 49 , D , 85 ," 1,948 "," 1,560 ", 115 ," 4,482 ",

,Sacramento ,SAC, 714 , 435 , 32 ," 2,060 ", D , D , D , D , 718 , 444 , 36 ," 2,065 ",

,San Bernardino,SBD," 1,697 "," 1,498 ", 83 ," 3,528 ", D , 16 , D , 65 ," 1,700 "," 1,514 ", 89 ," 3,593 ",

,San Diego ,SND," 1,151 ", 903 , 59 ," 3,562 ", D , D , -   , 17 ," 1,153 ", 907 , 59 ," 3,579 ",

,San Fernando Valley,SFV," 1,182 ", 783 , 56 ," 4,132 ", D , D , D , D ," 1,184 ", 787 , 57 ," 4,136 ",

,San Francisco,SFR," 1,840 "," 1,560 ", 101 ," 5,703 ", D , 44 , D , 17 ," 1,842 "," 1,604 ", 109 ," 5,720 ",

,San Jose ,SNJ, 981 , 927 , 47 ," 3,088 ", -   , 13 , D , 19 , 981 , 940 , 54 ," 3,107 ",

,Santa Ana,SAA," 1,438 ", 711 , 106 ," 4,819 ", D , 10 , 25 , D ," 1,440 ", 721 , 131 ," 4,826 ",

Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Denver ,DEN, 908 , 694 , 82 ," 3,198 ", D , 24 , D , 26 , 909 , 718 , 87 ," 3,224 ",

Connecticut,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

