,,,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,

 ,,,,,,,,,,,,,,,,,

Total,,," 141,251 "," 122,034 "," 8,934 "," 476,879 "," 57,963 "," 12,498 "," 2,820 "," 871,901 "," 199,214 "," 134,532 "," 11,754 "," 1,348,780 ",,,

Field Office by State6,,,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,,,

Alabama,,,,,,,,,,,,,,,,,

,Montgomery,MGA, 439 , 140 , 17 ," 1,886 ", D , D , -   , 64 , 442 , 144 , 17 ," 1,950 ",,,

Alaska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Anchorage ,ANC, 59 , 49 , D , 183 , -   , -   , -   , D , 59 , 49 , D , 191 ,,,

Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

 ,Phoenix ,PHO, 961 , 557 , 40 ," 3,562 ", D , D , D , 20 , 962 , 559 , 41 ," 3,582 ",,,

,Tucson,TUC, 306 , 544 , 12 , 762 , -   , -   , -   , -   , 306 , 544 , 12 , 762 ,,,

Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Fort Smith ,FSA, 92 , 133 , D , 298 , -   , -   , -   , D , 92 , 133 , D , 305 ,,,

California,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,

,Fresno ,FRE, 588 , 500 , 29 ," 1,980 ", D , 18 , D , 50 , 593 , 518 , 31 ," 2,030 ",,,

,Imperial,IMP, 74 , 111 , -   , 200 , D , -   , -   , D , 77 , 111 , -   , 207 ,,,

,Los Angeles ,LOS," 1,680 "," 1,269 ", 72 ," 6,370 ", D , D , -   , 10 ," 1,684 "," 1,270 ", 72 ," 6,380 ",,,

,Los Angeles County ,LAC," 1,480 "," 1,047 ", 78 ," 4,332 ", -   , 10 , D , 46 ," 1,480 "," 1,057 ", 83 ," 4,378 ",,,

,Sacramento ,SAC, 628 , 487 , 43 ," 2,171 ", D , D , D , 27 , 629 , 494 , 51 ," 2,198 ",,,

,San Bernardino,SBD," 1,377 "," 1,424 ", 75 ," 3,390 ", D , 13 , D , 19 ," 1,378 "," 1,437 ", 82 ," 3,409 ",,,

,San Diego ,SND, 951 ," 1,576 ", 74 ," 2,589 ", D , -   , D , 18 , 955 ," 1,576 ", 77 ," 2,607 ",,,

,San Fernando Valley,SFV," 1,022 ", 788 , 48 ," 4,030 ", D , D , D , 11 ," 1,024 ", 791 , 52 ," 4,041 ",,,

,San Francisco,SFR," 1,608 "," 1,201 ", 80 ," 6,718 ", D , 15 , 27 , 17 ," 1,609 "," 1,216 ", 107 ," 6,735 ",,,

,San Jose ,SNJ, 888 , 836 , 64 ," 3,001 ", -   , D , D , 58 , 888 , 844 , 65 ," 3,059 ",,,

,Santa Ana,SAA," 1,199 ", 757 , 93 ," 4,571 ", D , 21 , 18 , 15 ," 1,200 ", 778 , 111 ," 4,586 ",,,

