,,,,,,,,,,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,

 ,,,,,,,,,,,,,,,,,,,,,,,,

Total,,," 139,358 "," 125,774 "," 10,951 "," 513,815 "," 56,027 "," 15,876 "," 3,591 "," 1,006,377 "," 154,909 "," 119,725 "," 9,985 "," 1,515,402 ",,,,,,,,,,

Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,

Alabama,,,,,,,,,,,,,,,,,,,,,,,,

,Montgomery,MGA, 424 , 705 , 105 ," 1,860 ", D , D , D , 74 ,   ,   ,   ," 1,934 ",,,,,,,,,,

Alaska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,

,Anchorage ,ANC, 76 , 88 , D , 203 , D , D , -   , 10 ,   ,   ,   , 213 ,,,,,,,,,,

Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,

 ,Phoenix ,PHO, 933 , 776 , 74 ," 4,769 ", D , D , D , 49 ,   ,   ,   ," 4,818 ",,,,,,,,,,

,Tucson,TUC, 299 , 467 , D ," 1,032 ", D , -   , -   , D ,   , 467 ,   ,   ,,,,,,,,,,

Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,

,Fort Smith ,FSA, 127 , 132 , 17 , 445 , D , D , D , 15 ,   ,   ,   , 460 ,,,,,,,,,,

California,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,

,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,

,Fresno ,FRE, 634 , 640 , 51 ," 1,670 ", D , 25 , D , 58 ,   , 665 ,   ," 1,728 ",,,,,,,,,,

,Imperial,IMP, 67 , 93 , D , 191 , D , -   , -   , 48 ,   , 93 ,   , 239 ,,,,,,,,,,

,Los Angeles ,LOS," 1,604 ", 412 , 90 ," 6,772 ", D , 21 , D , 161 ,   , 433 ,   ," 6,933 ",,,,,,,,,,

,Los Angeles County ,LAC," 1,503 "," 1,073 ", 250 ," 6,344 ", 15 , 18 , D , 93 ," 1,518 "," 1,091 ",   ," 6,437 ",,,,,,,,,,

,Sacramento ,SAC, 689 , 648 , 31 ," 2,467 ", 12 , D , D , 73 , 701 ,   ,   ," 2,540 ",,,,,,,,,,

,San Bernardino,SBD," 1,321 "," 1,858 ", 96 ," 4,069 ", D , 15 , 11 , 68 ,   ," 1,873 ", 107 ," 4,137 ",,,,,,,,,,

,San Diego ,SND," 1,034 "," 1,085 ", 41 ," 2,755 ", D , 11 , D , 68 ,   ," 1,096 ",   ," 2,823 ",,,,,,,,,,

,San Fernando Valley,SFV, 895 , 580 , 68 ," 5,037 ", D , D , D , 67 ,   ,   ,   ," 5,104 ",,,,,,,,,,

,San Francisco,SFR," 1,620 ", 717 , 51 ," 8,356 ", D , 22 , D , 194 ,   , 739 ,   ," 8,550 ",,,,,,,,,,

