,RECEIPTS,RECEIPTS,RECEIPTS,APPROVALS,APPROVALS,APPROVALS,,,,,,,,,,,,,,,,,,,

,2012,2012,2012,2012,2012,2012,,,,,,,,,,,,,,,,,,,

,01-Apr-12,01-May-12,01-Jun-12,01-Apr-12,01-May-12,01-Jun-12,,,,,,,,,,,,,,,,,,,

I-485 Asylee Adjustment,3559,3749,3182,2577,3359,3198,,,,,,,,,,,,,,,,,,,

I-485 Refugee Adjustment,4192,4772,4184,7432,8519,6607,,,,,,,,,,,,,,,,,,,

I-485 Indo Chinese Adjustment,0,0,0,1,3,5,,,,,,,,,,,,,,,,,,,

I-485 Employment Adjustment,10975,7739,10174,8628,9913,10780,,,,,,,,,,,,,,,,,,,

I-485 Family Adjustment,23438,24176,22839,22046,22767,20684,,,,,,,,,,,,,,,,,,,

I-485 Cuban Refugee Adjustment,2932,2709,2959,2510,2661,2318,,,,,,,,,,,,,,,,,,,

I-485 All Others Adjustment,1191,1262,1415,972,1260,949,,,,,,,,,,,,,,,,,,,

I-526 Investor Petition,589,401,395,301,296,305,,,,,,,,,,,,,,,,,,,

I-130 Immediate Relative,46796,48423,42324,40231,47889,48248,,,,,,,,,,,,,,,,,,,

I-129F Fiancé(e),3884,4400,3808,2780,2814,2921,,,,,,,,,,,,,,,,,,,

I-600/I-600A Petition to Classify Orphan as an Immediate Relative/Application for Advance Processing of Orphan Petition,540,520,527,500,487,483,,,,,,,,,,,,,,,,,,,

I-130 All Other Relative (Pref. Cases),20906,21845,18249,10813,5359,4645,,,,,,,,,,,,,,,,,,,

I-360 Amerasians,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,

I-360 Widow(er) Petition,55,40,50,61,50,32,,,,,,,,,,,,,,,,,,,

I-360 Abusee/Self Petition,847,836,729,66,103,230,,,,,,,,,,,,,,,,,,,

I-360 Special Immigrant,627,584,613,347,306,274,,,,,,,,,,,,,,,,,,,

I-360 Special Immigrant Juvenile,250,255,288,193,230,260,,,,,,,,,,,,,,,,,,,

I-140 Immigrant Worker,4670,5635,7297,6169,5495,5762,,,,,,,,,,,,,,,,,,,

I-140 Hong Kong,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,

I-129s Nonimmigrant Petition Based on Blanket L Petition,58019,59951,56935,34683,32125,31732,,,,,,,,,,,,,,,,,,,

I-90 SAW (Special Agricultural Worker),14,32,31,3,1,6,,,,,,,,,,,,,,,,,,,

I-539s Extend/Change Nonimmigrant Status,12471,14845,15325,11129,12781,10710,,,,,,,,,,,,,,,,,,,

I-914 T Nonimmigrant Status,75,75,65,93,65,42,,,,,,,,,,,,,,,,,,,

I-914A Immediate Family Member of T-1 Recipient ,135,206,165,78,87,50,,,,,,,,,,,,,,,,,,,

I-90 Replace Permanent Resident Card,14524,14384,13045,14961,26776,26079,,,,,,,,,,,,,,,,,,,

I-90 Renew Permanent Resident Card,47277,44881,38586,129523,65962,50426,,,,,,,,,,,,,,,,,,,

I-131 Travel Document,7919,8411,7915,6911,6014,6932,,,,,,,,,,,,,,,,,,,

I-131 Advance Parole,24746,22735,22885,32134,28936,20214,,,,,,,,,,,,,,,,,,,

I-102 Replacement/Initial Nonimmigrant Arrival-Departure Document,1454,1519,1234,1416,1298,1161,,,,,,,,,,,,,,,,,,,

I-193 Passport/Visa Waiver,33,41,46,29,33,16,,,,,,,,,,,,,,,,,,,

