"Number of Service-wide Forms by Fiscal Year To-Date, Quarter, and Form Status 2014",,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,

,,,Forms by Status and Period,,,,,,,,,,,,,,,,,

,,,1st Quarter1,1st Quarter1,1st Quarter1,1st Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,Fiscal Year 2014 To-Date,Fiscal Year 2014 To-Date

,,,,,,,,,,,,,,,,,,,,

Category and Form No.,,Description,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3

,,,,,,,,,,,,,,,,,,,,

Total - All Forms,,,"1,330,295","1,342,803","138,213","2,823,279","1,488,072","1,239,752","143,890","2,981,383","1,834,634","1,417,682","146,036","3,294,240",,,,,"4,655,435","4,000,115"

,,,,,,,,,,,,,,,,,,,,

Family Based,,,,,,,,,,,,,,,,,,,,

,I-129F,Fiancée Petitions,"11,155","14,245","3,183","13,845","12,787","8,920","3,302","16,430","12,856","9,175","1,524","20,111",,,,,"36,798","32,340"

,I-130,Immediate and Preference Relatives,"197,615","191,290","16,712","896,890","189,403","238,810","19,510","840,102","214,709","209,981","19,348","830,895",,,,,"601,727","640,081"

,I-485,Family-Based Adjustments,"68,185","60,728","6,947","155,930","65,473","62,154","8,056","154,401","74,816","63,111","8,680","161,097",,,,,"208,474","185,993"

,I-600/600A,Orphan Petitions,"2,101","1,939",132,970,"2,193","1,820",126,"1,200","1,861","1,799",184,"1,075",,,,,"6,155","5,558"

,I-601A,Provisional Unlawful Presence Waivers,"8,123","4,641","1,805","14,071","7,270","4,124","2,372","15,132","10,681","6,432","2,274","17,547",,,,,"26,074","15,197"

,I-751,Remove Conditions on Residence,"41,807","43,876","2,638","81,444","49,602","35,878","2,719","98,413","45,140","42,223","2,263","97,727",,,,,"136,549","121,977"

,I-800/800A,Convention Country Adoptions,"1,945","2,047",66,756,"1,949","1,953",57,669,"2,087","2,096",42,634,,,,,"5,981","6,096"

Employment Based,,,,,,,,,,,,,,,,,,,,

,I-129,Nonimmigrant Worker Petitions,"68,611","91,134","20,783","56,537","72,165","88,016","21,820","36,064","192,114","126,262","21,252","97,896",,,,,"332,890","305,412"

,I-140,Immigrant Petitions for Workers,"14,566","10,393","1,759","15,166","17,879","10,930","1,593","24,595","24,254","20,490","1,924","27,175",,,,,"56,699","41,813"

,I-485,Employment-Based Adjustments,"30,568","31,702","1,824","117,921","29,639","30,651","1,611","118,966","29,200","25,449","1,749","122,754",,,,,"89,407","87,802"

,I-526,Petitions by Entrepreneurs,"2,143","1,453",811,"7,363","2,540","1,429",257,"8,302","3,005","1,133",125,"10,375",,,,,"7,688","4,015"

,I-765,Employment Authorization Documents,"277,483","312,969","23,565","252,013","298,443","249,993","23,276","280,205","387,920","299,898","25,039","348,070",,,,,"963,846","862,860"

