Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,

,,,1st Quarter1,1st Quarter1,1st Quarter1,1st Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,Fiscal Year 2015 To-Date,

,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3

,,,,,,,,,,,,,,,,,,,,

Total - All Forms,,,"1,715,112","1,439,860","134,750","3,463,153",,,,,,,,,,,,,"1,715,112","1,439,860"

,,,,,,,,,,,,,,,,,,,,

Family Based,,,,,,,,,,,,,,,,,,,,

,I-129F,Fiancée Petitions,"12,446","12,488","1,968","13,069",,,,,,,,,,,,,"12,446","12,488"

,I-130,Immediate and Preference Relatives,"198,889","165,272","14,102","801,583",,,,,,,,,,,,,"198,889","165,272"

,I-485,Family-Based Adjustments,"81,147","71,601","7,153","199,422",,,,,,,,,,,,,"81,147","71,601"

,I-600/600A,Orphan Petitions,823,977,153,556,,,,,,,,,,,,,823,977

,I-601A,Provisional Waivers,"12,193","9,132","2,024","15,741",,,,,,,,,,,,,"12,193","9,132"

,I-751,Remove Conditions on Residence,"35,536","32,246","1,725","122,558",,,,,,,,,,,,,"35,536","32,246"

,I-800/800A,Convention Country Adoptions,"2,174","2,117",56,565,,,,,,,,,,,,,"2,174","2,117"

Employment Based,,,,,,,,,,,,,,,,,,,,

,I-129,Nonimmigrant Worker Petitions,"92,227","92,985","20,469","126,900",,,,,,,,,,,,,"92,227","92,985"

,I-140,Immigrant Petitions for Workers,"32,739","24,395","1,736","43,509",,,,,,,,,,,,,"32,739","24,395"

,I-485,Employment-Based Adjustments,"33,828","24,836","1,422","125,161",,,,,,,,,,,,,"33,828","24,836"

,I-526,Petitions by Entrepreneurs,"6,277","1,257",372,"21,988",,,,,,,,,,,,,"6,277","1,257"

,I-7656,Employment Authorization Documents,"447,438","345,149","26,665","433,848",,,,,,,,,,,,,"447,438","345,149"

,I-829,Remove Conditions on Entrepreneur,821,812,10,"4,256",,,,,,,,,,,,,821,812

,I-924,Regional Center Applications,54,44, D ,230,,,,,,,,,,,,,54,44

Humanitarian,,,,,,,,,,,,,,,,,,,,

,I-485,Asylum Adjustments,"8,015","7,919",337,"25,646",,,,,,,,,,,,,"8,015","7,919"

