,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2016 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total - All Forms,,," 1,717,129 "," 1,439,930 "," 134,689 "," 3,463,779 "," 1,822,409 "," 1,544,484 "," 157,152 "," 3,613,627 "," 2,205,635 "," 1,602,579 "," 154,749 "," 4,114,032 ",,,,," 5,745,173 "," 4,586,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-129F,Fiancée Petitions," 12,446 "," 12,488 "," 1,968 "," 13,069 "," 13,159 "," 9,700 "," 1,792 "," 15,767 "," 14,263 "," 10,077 "," 1,653 "," 18,592 ",,,,," 39,868 "," 32,265 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-130,Immediate and Preference Relatives," 198,889 "," 165,272 "," 14,102 "," 801,583 "," 208,004 "," 179,314 "," 14,894 "," 830,450 "," 236,440 "," 175,076 "," 14,622 "," 889,717 ",,,,," 643,333 "," 519,662 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

