,,,,,,,,,,,,,,,,,,,

Form I-129 Petition for Nonimmigrant Worker Specialty Occupations (H-1B),,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                   Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,,,,,,,,,

TOTAL,,"2,157,466","2,022,094","214,420","2,236,514",90.4%,"635,849",28.4%,"446,209",70.2%,,,,,,,,,

This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,This cell left intentionally blank,,,,,,,,,

2017,October,"22,624","30,253","2,237","32,490",93.1%,"8,791",27.1%,"7,153",81.4%,,,,,,,,,

,November,"20,698","30,113","2,501","32,614",92.3%,"8,932",27.4%,"7,113",79.6%,,,,,,,,,

,December,"21,683","29,589","2,916","32,505",91.0%,"9,086",28.0%,"6,893",75.9%,,,,,,,,,

,January,"19,998","29,918","3,574","33,492",89.3%,"8,921",26.6%,"6,102",68.4%,,,,,,,,,

,February,"21,685","29,148","2,556","31,704",91.9%,"5,707",18.0%,"3,814",66.8%,,,,,,,,,

,March,"55,375","44,357","2,334","46,691",95.0%,"5,688",12.2%,"4,044",71.1%,,,,,,,,,

,April,"115,081","43,611","2,159","45,770",95.3%,"6,776",14.8%,"5,106",75.4%,,,,,,,,,

,May,"27,060","34,690","2,283","36,973",93.8%,"6,892",18.6%,"5,061",73.4%,,,,,,,,,

,June,"27,158","30,445","2,280","32,725",93.0%,"5,919",18.1%,"4,318",73.0%,,,,,,,,,

,July,"23,423","21,811","1,836","23,647",92.2%,"4,566",19.3%,"3,211",70.3%,,,,,,,,,

,August,"25,865","25,070","2,023","27,093",92.5%,"4,505",16.6%,"3,083",68.4%,,,,,,,,,

,September,"22,469","24,390","3,329","27,719",88.0%,"10,459",37.7%,"7,584",72.5%,,,,,,,,,

2017 Total,,"403,119","373,395","30,028","403,423",92.6%,"86,242",21.4%,"63,482",73.6%,,,,,,,,,

2018,October,"21,889","31,992","5,165","37,157",86.1%,"13,690",36.8%,"8,916",65.1%,,,,,,,,,

,November,"20,361","26,923","5,670","32,593",82.6%,"15,306",47.0%,"9,990",65.3%,,,,,,,,,

,December,"20,068","21,901","5,685","27,586",79.4%,"15,351",55.6%,"9,956",64.9%,,,,,,,,,

,January,"20,966","24,904","7,211","32,115",77.5%,"18,415",57.3%,"11,594",63.0%,,,,,,,,,

