"Form I-129 Petition for a Nonimmigrant Worker, Blanket L Petition",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - June 30, 2023",,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"9,006","8,736",233,"8,969",97.40%,"3,058",34.10%,"2,847",93.10%

2017,October,107,95,1,96,99.00%,27,28.10%,26,96.30%

,November,105,97,1,98,99.00%,33,33.70%,32,97.00%

,December,128,104, - ,104,100.00%,30,28.80%,30,100.00%

,January,93,96,3,99,97.00%,36,36.40%,34,94.40%

,February,107,108,5,113,95.60%,44,38.90%,39,88.60%

,March,122,126,2,128,98.40%,44,34.40%,42,95.50%

,April,106,111,2,113,98.20%,39,34.50%,37,94.90%

,May,147,118,2,120,98.30%,51,42.50%,49,96.10%

,June,110,141,4,145,97.20%,58,40.00%,54,93.10%

,July,120,101,5,106,95.30%,41,38.70%,36,87.80%

,August,123,132,2,134,98.50%,51,38.10%,49,96.10%

,September,108,110,3,113,97.30%,39,34.50%,36,92.30%

2017 Total,,"1,376","1,339",30,"1,369",97.80%,493,36.00%,464,94.10%

2018,October,114,97,3,100,97.00%,29,29.00%,26,89.70%

,November,115,128,1,129,99.20%,49,38.00%,48,98.00%

,December,93,90,2,92,97.80%,31,33.70%,29,93.50%

,January,101,92, - ,92,100.00%,34,37.00%,34,100.00%

,February,111,110,6,116,94.80%,44,37.90%,38,86.40%

,March,117,99,2,101,98.00%,26,25.70%,24,92.30%

,April,115,94,1,95,98.90%,28,29.50%,27,96.40%

,May,139,132,5,137,96.40%,51,37.20%,46,90.20%

,June,131,124,4,128,96.90%,51,39.80%,47,92.20%

,July,119,126,4,130,96.90%,43,33.10%,41,95.30%

,August,143,126,4,130,96.90%,42,32.30%,38,90.50%

,September,108,106,3,109,97.20%,37,33.90%,34,91.90%

2018 Total,,"1,406","1,324",35,"1,359",97.40%,465,34.20%,432,92.90%

2019,October,129,124,4,128,96.90%,48,37.50%,45,93.80%

,November,138,129,5,134,96.30%,48,35.80%,44,91.70%

,December,113,107,3,110,97.30%,49,44.50%,47,95.90%

,January,108,121,3,124,97.60%,38,30.60%,36,94.70%

,February,115,104,7,111,93.70%,40,36.00%,34,85.00%

,March,129,118,4,122,96.70%,54,44.30%,50,92.60%

,April,143,152,2,154,98.70%,51,33.10%,49,96.10%

,May,134,107,4,111,96.40%,50,45.00%,46,92.00%

,June,123,135,5,140,96.40%,51,36.40%,47,92.20%

,July,136,132,6,138,95.70%,42,30.40%,36,85.70%

,August,124,131,3,134,97.80%,47,35.10%,44,93.60%

,September,110,115,8,123,93.50%,49,39.80%,42,85.70%

2019 Total,,"1,502","1,475",54,"1,529",96.50%,567,37.10%,520,91.70%

2020,October,120,100,3,103,97.10%,37,35.90%,34,91.90%

,November,144,118,2,120,98.30%,49,40.80%,47,95.90%

,December,125,121,3,124,97.60%,43,34.70%,41,95.30%

,January,115,120,6,126,95.20%,50,39.70%,44,88.00%

,February,146,126,4,130,96.90%,49,37.70%,45,91.80%

,March,108,145,2,147,98.60%,53,36.10%,51,96.20%

,April,75,41,4,45,91.10%,26,57.80%,22,84.60%

,May,86,50,1,51,98.00%,24,47.10%,23,95.80%

,June,70,79,3,82,96.30%,16,19.50%,13,81.30%

,July,62,65,3,68,95.60%,16,23.50%,14,87.50%

,August,51,63, - ,63,100.00%,26,41.30%,26,100.00%

,September,80,59,2,61,96.70%,25,41.00%,23,92.00%

2020 Total,,"1,182","1,087",33,"1,120",97.10%,414,37.00%,383,92.50%

2021,October,52,57,3,60,95.00%,26,43.30%,23,88.50%

,November,40,56,2,58,96.60%,28,48.30%,26,92.90%

,December,78,78,5,83,94.00%,29,34.90%,24,82.80%

,January,56,58,2,60,96.70%,21,35.00%,20,95.20%

,February,73,62,2,64,96.90%,20,31.30%,19,95.00%

,March,100,94,7,101,93.10%,36,35.60%,29,80.60%

,April,76,90,1,91,98.90%,37,40.70%,36,97.30%

,May,86,78, - ,78,100.00%,25,32.10%,25,100.00%

,June,72,88,2,90,97.80%,34,37.80%,32,94.10%

,July,87,82,3,85,96.50%,26,30.60%,25,96.20%

,August,91,90, - ,90,100.00%,23,25.60%,23,100.00%

