"Form I-129 Petition for a Nonimmigrant Worker, Individuals with Extraordinary Ability or Achievement and Essential Support Personnel (O)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - June 30, 2023",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"167,925","154,806","12,578","167,384",92.50%,"41,015",24.50%,"28,827",70.30%

2017,October,"1,780","1,904",122,"2,026",94.00%,455,22.50%,337,74.10%

,November,"1,683","1,936",116,"2,052",94.30%,455,22.20%,343,75.40%

,December,"2,187","2,014",95,"2,109",95.50%,423,20.10%,331,78.30%

,January,"1,537","1,942",136,"2,078",93.50%,531,25.60%,402,75.70%

,February,"1,861","1,851",121,"1,972",93.90%,464,23.50%,344,74.10%

,March,"2,158","2,235",129,"2,364",94.50%,492,20.80%,364,74.00%

,April,"1,919","1,862",102,"1,964",94.80%,407,20.70%,308,75.70%

,May,"2,243","1,953",154,"2,107",92.70%,472,22.40%,322,68.20%

,June,"2,499","2,222",147,"2,369",93.80%,494,20.90%,348,70.40%

,July,"2,191","2,033",155,"2,188",92.90%,494,22.60%,342,69.20%

,August,"2,381","2,430",133,"2,563",94.80%,548,21.40%,420,76.60%

,September,"1,852","1,801",97,"1,898",94.90%,417,22.00%,322,77.20%

2017 Total,,"24,291","24,183","1,507","25,690",94.10%,"5,652",22.00%,"4,183",74.00%

2018,October,"1,981","1,660",173,"1,833",90.60%,472,25.80%,301,63.80%

,November,"1,889","1,825",187,"2,012",90.70%,474,23.60%,289,61.00%

,December,"1,796","1,593",160,"1,753",90.90%,463,26.40%,307,66.30%

,January,"1,752","1,822",144,"1,966",92.70%,442,22.50%,302,68.30%

,February,"1,913","1,673",132,"1,805",92.70%,393,21.80%,263,66.90%

,March,"2,291","2,084",133,"2,217",94.00%,474,21.40%,343,72.40%

,April,"2,130","1,875",108,"1,983",94.60%,397,20.00%,292,73.60%

,May,"2,276","1,994",134,"2,128",93.70%,474,22.30%,345,72.80%

,June,"2,254","2,024",109,"2,133",94.90%,455,21.30%,348,76.50%

,July,"2,460","1,931",165,"2,096",92.10%,500,23.90%,341,68.20%

,August,"2,477","2,257",164,"2,421",93.20%,552,22.80%,393,71.20%

,September,"1,983","2,004",152,"2,156",92.90%,512,23.70%,365,71.30%

2018 Total,,"25,202","22,742","1,761","24,503",92.80%,"5,608",22.90%,"3,889",69.30%

2019,October,"2,055","2,028",184,"2,212",91.70%,581,26.30%,401,69.00%

,November,"1,843","1,671",189,"1,860",89.80%,545,29.30%,360,66.10%

,December,"1,984","1,585",171,"1,756",90.30%,500,28.50%,331,66.20%

,January,"1,764","1,908",246,"2,154",88.60%,650,30.20%,418,64.30%

,February,"2,021","1,682",163,"1,845",91.20%,500,27.10%,338,67.60%

,March,"2,294","1,861",160,"2,021",92.10%,518,25.60%,361,69.70%

,April,"2,301","2,056",201,"2,257",91.10%,584,25.90%,389,66.60%

,May,"2,555","2,052",188,"2,240",91.60%,556,24.80%,370,66.50%

,June,"2,436","1,992",187,"2,179",91.40%,536,24.60%,355,66.20%

,July,"2,570","2,339",231,"2,570",91.00%,639,24.90%,411,64.30%

,August,"2,514","2,174",202,"2,376",91.50%,548,23.10%,352,64.20%

,September,"2,172","1,736",214,"1,950",89.00%,560,28.70%,357,63.80%

2019 Total,,"26,509","23,084","2,336","25,420",90.80%,"6,717",26.40%,"4,443",66.10%

2020,October,"2,246","2,017",209,"2,226",90.60%,658,29.60%,459,69.80%

,November,"2,031","1,580",196,"1,776",89.00%,533,30.00%,343,64.40%

,December,"2,057","1,770",181,"1,951",90.70%,565,29.00%,384,68.00%

,January,"1,828","1,682",199,"1,881",89.40%,586,31.20%,395,67.40%

,February,"2,228","1,751",204,"1,955",89.60%,552,28.20%,353,63.90%

,March,"1,810","2,035",275,"2,310",88.10%,717,31.00%,456,63.60%

,April,"1,641",965,221,"1,186",81.40%,476,40.10%,261,54.80%

,May,"1,685","1,347",140,"1,487",90.60%,431,29.00%,292,67.70%

,June,"1,670","1,693",128,"1,821",93.00%,494,27.10%,370,74.90%

,July,"1,842","1,741",123,"1,864",93.40%,469,25.20%,348,74.20%

,August,"1,592","1,701",206,"1,907",89.20%,667,35.00%,465,69.70%

,September,"1,673","1,617",198,"1,815",89.10%,617,34.00%,423,68.60%

2020 Total,,"22,303","19,899","2,280","22,179",89.70%,"6,765",30.50%,"4,549",67.20%

2021,October,"1,378","1,639",226,"1,865",87.90%,648,34.70%,427,65.90%

,November,"1,190","1,144",175,"1,319",86.70%,528,40.00%,356,67.40%

,December,"1,364","1,200",207,"1,407",85.30%,570,40.50%,367,64.40%

,January,"1,132","1,180",148,"1,328",88.90%,396,29.80%,250,63.10%

,February,"1,232","1,153",113,"1,266",91.10%,339,26.80%,226,66.70%

,March,"1,831","1,579",210,"1,789",88.30%,580,32.40%,372,64.10%

,April,"1,789","1,501",109,"1,610",93.20%,428,26.60%,321,75.00%

,May,"1,896","1,524",144,"1,668",91.40%,443,26.60%,302,68.20%

,June,"2,324","1,939",139,"2,078",93.30%,493,23.70%,359,72.80%

,July,"2,285","2,110",89,"2,199",96.00%,444,20.20%,360,81.10%

,August,"2,214","2,385",113,"2,498",95.50%,513,20.50%,403,78.60%

,September,"2,039","1,978",149,"2,127",93.00%,498,23.40%,353,70.90%

2021 Total,,"20,674","19,332","1,822","21,154",91.40%,"5,880",27.80%,"4,096",69.70%

2022,October,"2,035","1,852",130,"1,982",93.40%,444,22.40%,320,72.10%

,November,"1,912","1,830",112,"1,942",94.20%,440,22.70%,330,75.00%

,December,"2,252","1,837",81,"1,918",95.80%,371,19.30%,297,80.10%

,January,"1,818","1,667",115,"1,782",93.50%,419,23.50%,313,74.70%

,February,"2,158","1,991",121,"2,112",94.30%,448,21.20%,333,74.30%

,March,"2,596","2,425",157,"2,582",93.90%,499,19.30%,353,70.70%

,April,"2,386","2,240",137,"2,377",94.20%,468,19.70%,335,71.60%

,May,"2,584","2,233",133,"2,366",94.40%,462,19.50%,337,72.90%

,June,"2,675","2,607",117,"2,724",95.70%,538,19.80%,429,79.70%

,July,"2,600","2,288",115,"2,403",95.20%,512,21.30%,399,77.90%

,August,"2,814","2,748",139,"2,887",95.20%,609,21.10%,478,78.50%

,September,"2,363","2,573",140,"2,713",94.80%,554,20.40%,423,76.40%

2022 Total,,"28,193","26,291","1,497","27,788",94.60%,"5,764",20.70%,"4,347",75.40%

2023,October,"2,228","2,184",156,"2,340",93.30%,553,23.60%,404,73.10%

,November,"2,066","2,117",156,"2,273",93.10%,559,24.60%,410,73.30%

,December,"2,339","1,971",139,"2,110",93.40%,445,21.10%,312,70.10%

,January,"1,863","2,094",170,"2,264",92.50%,534,23.60%,373,69.90%

